Stock.ID,Species,Stock,Region,UseFlag,BroodYear,Spawners,R2,R3,R4,R5,R6,R7,Recruits
107,Coho,Akwe River,Southeast,1,1981,20000,NA,9127,10995,3356,NA,NA,23478
107,Coho,Akwe River,Southeast,1,1982,12000,NA,5980,24750,7086,NA,NA,37816
107,Coho,Akwe River,Southeast,1,1983,24000,NA,13843,19970,5624,NA,NA,39437
107,Coho,Akwe River,Southeast,1,1984,11200,NA,5153,23297,2668,NA,NA,31118
107,Coho,Akwe River,Southeast,1,1985,9600,NA,11247,22675,1528,NA,NA,35450
107,Coho,Akwe River,Southeast,1,1986,23600,NA,8003,16498,800,NA,NA,25301
107,Coho,Akwe River,Southeast,0,1967,NA,NA,NA,NA,2078,NA,NA,2078
107,Coho,Akwe River,Southeast,0,1968,NA,NA,NA,15322,1150,NA,NA,16472
107,Coho,Akwe River,Southeast,1,1969,NA,NA,8570,8484,1616,NA,NA,18670
107,Coho,Akwe River,Southeast,1,1970,NA,NA,4745,11917,667,NA,NA,17329
107,Coho,Akwe River,Southeast,1,1971,NA,NA,6666,4918,735,NA,NA,12319
107,Coho,Akwe River,Southeast,1,1972,14000,NA,2751,5420,4345,NA,NA,12516
107,Coho,Akwe River,Southeast,1,1973,6000,NA,3031,32043,2838,NA,NA,37912
107,Coho,Akwe River,Southeast,1,1974,10000,NA,17923,20931,1749,NA,NA,40603
107,Coho,Akwe River,Southeast,1,1975,4400,NA,11707,12900,2008,NA,NA,26615
107,Coho,Akwe River,Southeast,1,1976,3000,NA,7215,14809,1792,NA,NA,23816
107,Coho,Akwe River,Southeast,1,1977,30000,NA,8283,13218,889,NA,NA,22390
107,Coho,Akwe River,Southeast,1,1978,14000,NA,7393,14816,268,NA,NA,22477
107,Coho,Akwe River,Southeast,1,1979,6000,NA,13927,14207,0,NA,NA,28134
107,Coho,Akwe River,Southeast,1,1980,10000,NA,12331,13311,1739,NA,NA,27381
107,Coho,Akwe River,Southeast,1,1981,10000,NA,7167,8259,2413,NA,NA,17839
107,Coho,Akwe River,Southeast,1,1982,6000,NA,4492,17794,4930,NA,NA,27216
107,Coho,Akwe River,Southeast,1,1983,12000,NA,9952,13894,4252,NA,NA,28098
107,Coho,Akwe River,Southeast,1,1984,5600,NA,3585,17613,1884,NA,NA,23082
107,Coho,Akwe River,Southeast,1,1985,4800,NA,8503,16011,1038,NA,NA,25552
107,Coho,Akwe River,Southeast,1,1986,11800,NA,5651,11206,506,NA,NA,17363
107,Coho,Akwe River,Southeast,0,1967,NA,NA,NA,NA,1704,NA,NA,1704
107,Coho,Akwe River,Southeast,0,1968,NA,NA,NA,12569,990,NA,NA,13559
107,Coho,Akwe River,Southeast,1,1969,NA,NA,7030,7304,1349,NA,NA,15683
107,Coho,Akwe River,Southeast,1,1970,NA,NA,4085,9951,549,NA,NA,14585
107,Coho,Akwe River,Southeast,1,1971,NA,NA,5566,4052,655,NA,NA,10273
107,Coho,Akwe River,Southeast,1,1972,9333,NA,2266,4830,3545,NA,NA,10641
107,Coho,Akwe River,Southeast,1,1973,4000,NA,2701,26143,2465,NA,NA,31309
107,Coho,Akwe River,Southeast,1,1974,6667,NA,14623,18177,1589,NA,NA,34389
107,Coho,Akwe River,Southeast,1,1975,2933,NA,10167,11720,1741,NA,NA,23628
107,Coho,Akwe River,Southeast,1,1976,2000,NA,6555,12843,1526,NA,NA,20924
107,Coho,Akwe River,Southeast,1,1977,20000,NA,7183,11252,829,NA,NA,19264
107,Coho,Akwe River,Southeast,1,1978,9333,NA,6293,13816,228,NA,NA,20337
107,Coho,Akwe River,Southeast,1,1979,4000,NA,12987,12087,0,NA,NA,25074
107,Coho,Akwe River,Southeast,1,1980,6667,NA,10491,12097,1547,NA,NA,24135
107,Coho,Akwe River,Southeast,1,1981,6667,NA,6514,7347,2098,NA,NA,15959
107,Coho,Akwe River,Southeast,1,1982,4000,NA,3996,15473,4211,NA,NA,23680
107,Coho,Akwe River,Southeast,1,1983,8000,NA,8655,11868,3794,NA,NA,24317
107,Coho,Akwe River,Southeast,1,1984,3733,NA,3063,15719,1622,NA,NA,20404
107,Coho,Akwe River,Southeast,1,1985,3200,NA,7588,13790,874,NA,NA,22252
107,Coho,Akwe River,Southeast,1,1986,7867,NA,4867,9441,408,NA,NA,14716
108,Coho,East Alsek River,Southeast,0,1967,NA,NA,NA,NA,202,NA,NA,202
108,Coho,East Alsek River,Southeast,0,1968,NA,NA,NA,1921,180,NA,NA,2101
