CUnm,CUid,broodyear,Sp,Rec_total,Rec_Age3,Rec_Age4,MS_Age3,MS_Age4,ER_Age3,ER_Age4
Fraser_Canyon,2,2003,4552,1812,1629,183,0,0.009,0.094,0.112
Fraser_Canyon,2,2004,5872,3008,2901,107,0.009,0.004,0.112,0.098
Fraser_Canyon,2,2005,2269,1528,1155,373,0.004,0.009,0.098,0.115
Fraser_Canyon,2,2006,1605,2344,2235,109,0.009,0.009,0.115,0.104
Fraser_Canyon,2,2007,2739,2809,2377,432,0.009,0.014,0.104,0.126
Fraser_Canyon,2,2008,1138,3679,3215,464,0.014,0.011,0.126,0.112
Fraser_Canyon,2,2009,2308,5865,5317,548,0.011,0.007,0.112,0.162
Fraser_Canyon,2,2010,2227,6087,5895,192,0.007,0.011,0.162,0.318
Fraser_Canyon,2,2011,3189,1394,1345,49,0.011,0.007,0.318,0.178
Fraser_Canyon,2,2012,5134,664,379,285,0.007,0.013,0.178,0.073
Fraser_Canyon,2,2013,5398,1212,966,246,0.013,0.01,0.073,0.097
Fraser_Canyon,2,2014,1048,2760,1589,1171,0.01,0.014,0.097,0.153
Fraser_Canyon,2,2015,352,4695,4629,66,0.014,0.016,0.153,0.09
Fraser_Canyon,2,2016,1160,4965,3515,1450,0.016,0.016,0.09,0.156
Lower_Thompson,3,1998,2165,5833,5123,710,0.031,0.036,0.071,0.078
Lower_Thompson,3,1999,3992,6971,6870,101,0.036,0.008,0.078,0.129
Lower_Thompson,3,2000,4739,1791,1652,139,0.008,0.008,0.129,0.131
Lower_Thompson,3,2001,9522,3115,2907,208,0.008,0.003,0.131,0.13
Lower_Thompson,3,2002,16053,2230,2122,108,0.003,0,0.13,0.094
Lower_Thompson,3,2003,2933,1824,1225,599,0,0.009,0.094,0.112
Lower_Thompson,3,2004,4304,9809,9481,328,0.009,0.004,0.112,0.098
Lower_Thompson,3,2005,2614,4173,3544,629,0.004,0.009,0.098,0.115
Lower_Thompson,3,2006,1082,4996,3770,1226,0.009,0.009,0.115,0.104
Lower_Thompson,3,2007,10169,11788,11348,440,0.009,0.014,0.104,0.126
Lower_Thompson,3,2008,3800,7487,6942,545,0.014,0.011,0.126,0.112
Lower_Thompson,3,2009,4768,11893,11457,436,0.011,0.007,0.112,0.162
Lower_Thompson,3,2010,12217,14429,13242,1187,0.007,0.011,0.162,0.318
Lower_Thompson,3,2011,7289,8946,8308,638,0.011,0.007,0.318,0.178
Lower_Thompson,3,2012,11559,11378,4956,6422,0.007,0.013,0.178,0.073
Lower_Thompson,3,2013,11887,7706,7135,571,0.013,0.01,0.073,0.097
Lower_Thompson,3,2014,7447,5893,3697,2196,0.01,0.014,0.097,0.153
Lower_Thompson,3,2015,5182,6016,5801,215,0.014,0.016,0.153,0.09
Lower_Thompson,3,2016,13369,15582,11439,4143,0.016,0.016,0.09,0.156
North_Thompson,4,1998,9786,26750,26750,0,0.031,0.036,0.071,0.078
North_Thompson,4,1999,10696,21640,21395,245,0.036,0.008,0.078,0.129
North_Thompson,4,2000,8054,8388,7595,793,0.008,0.008,0.129,0.131
North_Thompson,4,2001,27238,11382,11108,274,0.008,0.003,0.131,0.13
North_Thompson,4,2002,22083,5279,4943,336,0.003,0,0.13,0.094
North_Thompson,4,2003,7211,5683,3836,1847,0,0.009,0.094,0.112
North_Thompson,4,2004,10661,25972,25621,351,0.009,0.004,0.112,0.098
North_Thompson,4,2005,4518,5290,3786,1504,0.004,0.009,0.098,0.115
North_Thompson,4,2006,3670,9110,9027,83,0.009,0.009,0.115,0.104
North_Thompson,4,2007,24500,13832,13092,740,0.009,0.014,0.104,0.126
North_Thompson,4,2008,3849,9594,8880,714,0.014,0.011,0.126,0.112
North_Thompson,4,2009,9631,22891,21273,1618,0.011,0.007,0.112,0.162
North_Thompson,4,2010,12159,18379,17404,975,0.007,0.011,0.162,0.318
North_Thompson,4,2011,8803,7267,6821,446,0.011,0.007,0.318,0.178
North_Thompson,4,2012,20058,6079,3469,2610,0.007,0.013,0.178,0.073
North_Thompson,4,2013,16271,16517,15562,955,0.013,0.01,0.073,0.097
North_Thompson,4,2014,5244,16423,12228,4195,0.01,0.014,0.097,0.153
North_Thompson,4,2015,3178,9569,9166,403,0.014,0.016,0.153,0.09
North_Thompson,4,2016,16914,23527,16404,7123,0.016,0.016,0.09,0.156
South_Thompson,5,1998,5155,12775,12273,502,0.031,0.036,0.071,0.078
South_Thompson,5,1999,3137,9710,9425,285,0.036,0.008,0.078,0.129
South_Thompson,5,2000,3307,3918,3416,502,0.008,0.008,0.129,0.131
South_Thompson,5,2001,13063,17619,17325,294,0.008,0.003,0.131,0.13
South_Thompson,5,2002,10544,2341,2161,180,0.003,0,0.13,0.094
South_Thompson,5,2003,3422,2535,2049,486,0,0.009,0.094,0.112
South_Thompson,5,2004,15850,13416,12803,613,0.009,0.004,0.112,0.098
South_Thompson,5,2005,2302,7222,6617,605,0.004,0.009,0.098,0.115
South_Thompson,5,2006,2003,4264,3625,639,0.009,0.009,0.115,0.104
South_Thompson,5,2007,12345,9903,8898,1005,0.009,0.014,0.104,0.126
South_Thompson,5,2008,6688,5420,3455,1965,0.014,0.011,0.126,0.112
South_Thompson,5,2009,3821,14096,12531,1565,0.011,0.007,0.112,0.162
South_Thompson,5,2010,8946,13035,12662,373,0.007,0.011,0.162,0.318
South_Thompson,5,2011,4771,2890,2609,281,0.011,0.007,0.318,0.178
South_Thompson,5,2012,13303,6620,2182,4438,0.007,0.013,0.178,0.073
South_Thompson,5,2013,13132,11383,10697,686,0.013,0.01,0.073,0.097
South_Thompson,5,2014,2270,2492,2033,459,0.01,0.014,0.097,0.153
South_Thompson,5,2015,2392,6433,6352,81,0.014,0.016,0.153,0.09
South_Thompson,5,2016,15023,12206,8386,3820,0.016,0.016,0.09,0.156
