Stock.ID,Species,Stock,Region,UseFlag,BroodYear,Spawners,R2,R3,R4,R5,R6,R7,R8,Recruits
117,Chinook,Nushagak,Bristol Bay,1,1989,158551,NA,4243,60024,122311,124899,4306,0,315783
117,Chinook,Nushagak,Bristol Bay,1,1990,126747,NA,1235,52337,49636,40939,982,0,145129
117,Chinook,Nushagak,Bristol Bay,1,1991,210346,NA,2751,91425,97826,84588,5435,0,282025
117,Chinook,Nushagak,Bristol Bay,1,1992,166965,NA,1912,45459,76219,126924,1317,0,251831
117,Chinook,Nushagak,Bristol Bay,1,1993,197098,NA,4499,83442,198974,76767,3891,0,367573
117,Chinook,Nushagak,Bristol Bay,1,1994,190121,NA,1867,37359,47034,59399,5729,0,151388
117,Chinook,Nushagak,Bristol Bay,1,1995,173014,NA,2190,22871,42788,94165,4710,236,166960
117,Chinook,Nushagak,Bristol Bay,1,1996,102348,NA,974,31377,60853,82265,3111,0,178580
117,Chinook,Nushagak,Bristol Bay,1,1997,165062,NA,523,51344,70337,59862,2472,0,184538
117,Chinook,Nushagak,Bristol Bay,1,1998,235845,NA,1037,70092,101055,108292,2747,0,283223
117,Chinook,Nushagak,Bristol Bay,1,1999,123906,NA,1515,59814,154724,113227,1651,0,330931
117,Chinook,Nushagak,Bristol Bay,1,2000,110682,NA,648,86335,139908,84305,512,0,311708
117,Chinook,Nushagak,Bristol Bay,1,2001,184317,NA,107,51126,75272,30367,343,0,157215
117,Chinook,Nushagak,Bristol Bay,1,2002,174704,NA,236,56007,36759,26678,201,0,119881
117,Chinook,Nushagak,Bristol Bay,1,2003,158307,NA,797,56171,79856,41394,661,0,178879
117,Chinook,Nushagak,Bristol Bay,1,2004,233475,NA,1269,20537,38378,18145,220,0,78549
117,Chinook,Nushagak,Bristol Bay,1,2005,223950,NA,1032,37065,41043,30818,338,NA,110296
117,Chinook,Nushagak,Bristol Bay,0,2006,117364,NA,492,31417,55957,39338,NA,NA,127204
117,Chinook,Nushagak,Bristol Bay,0,2007,50960,NA,2411,56676,102411,NA,NA,NA,161498
117,Chinook,Nushagak,Bristol Bay,0,2008,91364,NA,1125,53036,NA,NA,NA,NA,54161
117,Chinook,Nushagak,Bristol Bay,0,2009,74781,NA,1423,NA,NA,NA,NA,NA,1423
