stock.id,species,stock,region,sub.region,brood.yr,spawners,recruits,use,recruits.3,recruits.4,recruits.5,age,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1976,32743,7693,1,1065,5299,1329,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1977,3835,22231,1,9752,11656,822,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1978,5875,4838,1,1007,3303,527,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1979,1005,5448,1,2753,2524,171,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1980,7555,15112,1,1789,13013,310,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1981,6294,10129,1,5813,3867,449,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1982,4089,19455,1,3330,14690,1435,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1983,1769,16975,1,4351,10540,2085,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1984,8034,91579,1,15780,72281,3518,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1985,4022,43916,1,11902,28070,3944,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1986,10019,61065,1,5370,48864,6831,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1987,19058,28878,1,1972,21447,5459,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1988,31282,150291,1,11438,130441,8411,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1989,7424,31869,1,5459,19899,6511,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1990,14385,69011,1,7301,55085,6625,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1991,12181,7442,1,2234,4523,686,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1992,27760,177629,1,52425,121402,3802,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1993,33177,17264,1,2985,10840,3439,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1994,54391,54085,1,2055,49547,2482,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1995,55179,50146,1,34518,14964,665,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1996,114316,47511,1,6099,37176,4236,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1997,16001,56728,1,1140,52040,3548,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1998,80404,75468,1,27835,45239,2394,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,1999,23461,42079,1,9758,25133,7188,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,2000,27705,201832,1,21543,161930,18359,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,2001,62821,30102,1,9080,21022,0,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,2002,46798,78678,1,5612,70917,2148,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,2003,45945,51969,1,7880,41932,2158,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,2004,120782,42582,1,13632,25825,3126,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,2005,24701,29100,1,4083,18758,6260,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,2006,63345,41794,1,3126,35824,2843,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,2007,52669,44996,1,7001,31147,6848,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,2008,20872,30153,1,5821,20153,4180,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,2009,21659,46599,1,11935,32521,2142,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,2010,43739,28681,1,1631,21485,5565,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,2011,38515,14928,1,1690,11784,1454,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,2012,24521,28601,1,15221,11828,1552,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,2013,35441,37381,1,6011,30844,525,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,2014,20593,20139,1,6402,13654,83,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,2015,32521,21360,1,11816,8021,1523,data,,,,,,,,,,,,
303,Chum,S Sound Summer,Inside WA,Inside WA,2016,19068,23326,1,8104,13605,1618,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1968,46975,327937,1,77278,239838,10821,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1969,35602,151089,1,35500,109917,5671,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1970,41655,177181,1,69102,107058,1021,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1971,43698,101659,1,59114,42049,496,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1972,65211,101964,1,17000,83024,1940,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1973,55301,293525,1,164313,127418,1793,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1974,99537,296197,1,86024,208567,1607,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1975,31104,100748,1,88447,11438,864,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1976,53313,62192,1,13607,47504,1081,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1977,54084,379120,1,239824,134345,4950,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1978,105465,107106,1,18839,79602,8665,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1979,18750,233700,1,113463,114291,5946,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1980,85454,102442,1,14304,84392,3746,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1981,43268,313764,1,138367,165588,9809,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1982,31149,212998,1,80172,121386,11440,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1983,36686,237140,1,43965,179339,13836,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1984,73317,452560,1,145692,294672,12196,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1985,99351,176062,1,65067,95916,15080,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1986,89809,325908,1,42612,259483,23812,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1987,153538,144861,1,9958,117487,17415,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1988,93893,520249,1,83117,384438,52694,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1989,47908,158981,1,33089,111806,14087,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1990,106807,529139,1,172944,327750,28445,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1991,82943,193974,1,127719,63323,2932,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1992,138805,735924,1,247197,469115,19612,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1993,133691,133065,1,71540,53363,8162,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1994,237123,299491,1,35424,256441,7626,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1995,200592,457066,1,317328,137516,2222,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1996,329074,263613,1,71771,176590,15252,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1997,69872,395768,1,41769,324492,29507,data,,,,,,,,,,,,
304,Chum,S Sound Fall,Inside WA,Inside WA,1998,367456,951198,1,485950,452801,12446,data,,,,,,,,,,,,
