region,species_name,cuid,cu_name_pse,survey_method,survey_coverage,survey_execution,catch_method,stockid_quality,juvenile_quality,runtiming_quality,dq_score_spawner_surveys,dq_score_juvenile_surveys,dq_score_spawner_abundance,dq_score_run_timing,dq_score_catch_run_size,dq_score_recruits_per_spawner,dq_score_trends_spawner_abund,dq_score_biological_status,uploadid,dataset_version
Skeena,Lake sockeye,194,Johanson,0,0,0,0,-989898,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1808,20240915
Skeena,Lake sockeye,195,Kluatantan,0,0,0,0,-989898,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1808,20240915
Skeena,Lake sockeye,196,Kluayaz,0,0,0,0,-989898,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1808,20240915
Skeena,Lake sockeye,197,Motase,2,5,4,5,-989898,0,1,4.0,0.0,4.0,1.0,5.0,4.0,4.0,4.0,1808,20240915
Skeena,Lake sockeye,198,Sicintine,0,0,0,0,-989898,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1808,20240915
Skeena,Lake sockeye,199,Slamgeesh,0,0,0,0,-989898,3,1,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1808,20240915
Skeena,Lake sockeye,200,Spawning,0,0,0,0,-989898,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1808,20240915
Skeena,Lake sockeye,201,Sustut,0,0,0,0,-989898,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1808,20240915
Skeena,Lake sockeye,203,Babine (enhanced),0,0,0,5,-989898,4,0,0.0,4.0,0.0,0.0,5.0,5.0,0.0,5.0,1808,20240915
Skeena,Lake sockeye,230,Footsore/Hodder,0,0,0,0,-989898,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808,20240915
Skeena,Lake sockeye,291,Prudhomme,0,1,2,0,-989898,0,0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,1808,20240915
Skeena,Lake sockeye,292,Shawatlan,1,5,3,0,-989898,0,0,3.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0,1808,20240915
Skeena,Pink (even),218,Middle-Upper Skeena (even),3,5,3,3,-989898,0,1,4.0,0.0,4.0,1.0,3.0,4.0,4.0,4.0,1808,20240915
Skeena,Pink (even),219,Nass-Skeena Estuary (even),3,5,3,3,-989898,0,1,4.0,0.0,4.0,1.0,3.0,4.0,4.0,4.0,1808,20240915
Skeena,Pink (odd),209,Lower Skeena River (odd),0,0,0,3,-989898,0,1,0.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,1808,20240915
Skeena,Pink (odd),213,Middle-Upper Skeena (odd),0,0,0,3,-989898,0,1,0.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,1808,20240915
Skeena,Pink (odd),223,Nass-Skeena Estuary (odd),0,0,0,3,-989898,0,1,0.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,1808,20240915
Skeena,River sockeye,216,Skeena River-High Interior (river-type),2,5,5,0,-989898,0,0,4.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,1808,20240915
Skeena,River sockeye,226,Skeena River (river-type),0,1,0,0,-989898,0,0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1808,20240915
Skeena,Steelhead,280,Upper Skeena Headwaters,0,0,0,0,-989898,2,1,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1808,20240915
Skeena,Steelhead,281,Upper Sustut,0,5,5,0,-989898,0,5,5.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,1808,20240915
Skeena,Steelhead,282,Upper Skeena,0,0,0,0,-989898,0,5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1808,20240915
Skeena,Steelhead,283,Kispiox,0,0,0,0,-989898,2,5,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,1808,20240915
Skeena,Steelhead,284,Babine,0,0,0,0,-989898,0,5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1808,20240915
Skeena,Steelhead,285,Middle Skeena,0,0,0,0,-989898,2,5,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,1808,20240915
Skeena,Steelhead,286,Suskwa,0,0,0,0,-989898,0,5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1808,20240915
Skeena,Steelhead,287,Bulkley,0,0,0,0,-989898,0,5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1808,20240915
Skeena,Steelhead,288,Skeena Coastal Summers,0,0,0,0,-989898,2,5,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,1808,20240915
Skeena,Steelhead,289,Morice,0,0,0,0,-989898,2,5,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,1808,20240915
Skeena,Steelhead,290,Skeena Coastal Winters,0,0,0,0,-989898,0,4,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1808,20240915
Nass,Chinook,401,Portland Sound-Observatory Inlet-Lower Nass,0,1,3,5,-989898,0,4,2.0,0.0,2.0,4.0,5.0,3.0,2.0,3.0,1808,20240915
Nass,Chinook,402,Upper Nass,1,2,4,5,-989898,0,5,2.0,0.0,2.0,5.0,5.0,3.0,2.0,3.0,1808,20240915
Nass,Chum,404,Portland Inlet,2,5,3,3,-989898,0,0,3.0,0.0,3.0,0.0,3.0,3.0,3.0,3.0,1808,20240915
Nass,Chum,405,Lower Nass,0,0,0,3,-989898,0,5,0.0,0.0,0.0,5.0,3.0,3.0,0.0,3.0,1808,20240915
Nass,Chum,406,Portland Canal-Observatory,2,5,3,3,-989898,0,1,3.0,0.0,3.0,1.0,3.0,3.0,3.0,3.0,1808,20240915
Nass,Coho,408,Lower Nass,2,5,4,3,-989898,5,5,4.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,1808,20240915
Nass,Coho,409,Upper Nass,3,4,3,3,-989898,0,5,3.0,0.0,3.0,5.0,3.0,3.0,3.0,3.0,1808,20240915
Nass,Coho,410,Portland Sound-Observatory Inlet-Portland Canal,0,1,0,3,-989898,0,1,1.0,0.0,1.0,1.0,3.0,2.0,1.0,2.0,1808,20240915
Nass,Lake sockeye,418,Clements,0,0,0,0,-989898,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808,20240915
Nass,Lake sockeye,419,Leverson,0,0,0,0,-989898,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808,20240915
Nass,Lake sockeye,420,Bowser,0,0,0,0,-989898,0,5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1808,20240915
Nass,Lake sockeye,421,Damdochax,0,1,0,5,-989898,0,5,1.0,0.0,1.0,5.0,5.0,3.0,1.0,3.0,1808,20240915
Nass,Lake sockeye,422,Fred Wright,0,1,0,5,-989898,0,0,1.0,0.0,1.0,0.0,5.0,3.0,1.0,3.0,1808,20240915
Nass,Lake sockeye,423,Kwinageese,0,0,0,0,-989898,0,5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1808,20240915
Nass,Lake sockeye,424,Meziadin,5,5,4,5,-989898,0,5,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,1808,20240915
Nass,Lake sockeye,425,Oweegee,0,0,0,0,-989898,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808,20240915
Nass,Pink (even),412,Upper Nass (even),0,0,0,0,-989898,0,5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1808,20240915
Nass,Pink (odd),414,Nass-Portland-Observatory (odd),0,0,0,3,-989898,0,1,0.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,1808,20240915
Nass,Pink (odd),415,Upper Nass (odd),0,0,0,0,-989898,0,5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1808,20240915
Nass,River sockeye,426,Lower Nass-Portland (river-type),3,5,3,5,-989898,0,5,4.0,0.0,4.0,5.0,5.0,4.0,4.0,4.0,1808,20240915
Nass,River sockeye,427,Upper Nass River (river-type),0,1,0,5,-989898,0,5,1.0,0.0,1.0,5.0,5.0,3.0,1.0,3.0,1808,20240915
Nass,Steelhead,480,Nass Summer,5,5,4,0,-989898,0,2,5.0,0.0,5.0,2.0,0.0,5.0,5.0,5.0,1808,20240915
Nass,Steelhead,481,Nass Winter,0,0,0,0,-989898,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Chinook,509,Docee,0,0,0,1,-989898,0,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1808,20240915
Central Coast,Chinook,510,Rivers Inlet,1,5,2,1,-989898,0,1,3.0,0.0,3.0,1.0,1.0,2.0,3.0,2.0,1808,20240915
Central Coast,Chinook,511,Wannock,0,0,0,1,-989898,0,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1808,20240915
Central Coast,Chinook,512,Bella Coola-Bentinck,0,1,0,5,-989898,0,1,1.0,0.0,1.0,1.0,5.0,3.0,1.0,3.0,1808,20240915
Central Coast,Chinook,513,Dean River,3,5,4,3,-989898,0,1,4.0,0.0,4.0,1.0,3.0,4.0,4.0,4.0,1808,20240915
Central Coast,Chinook,514,North & Central Coast-Late,0,1,4,0,-989898,0,1,2.0,0.0,2.0,1.0,0.0,2.0,2.0,2.0,1808,20240915
Central Coast,Chinook,515,North & Central Coast-Early,0,1,0,3,-989898,0,1,1.0,0.0,1.0,1.0,3.0,2.0,1.0,2.0,1808,20240915
Central Coast,Chum,500,Smith Inlet,2,5,3,2,-989898,0,1,3.0,0.0,3.0,1.0,2.0,3.0,3.0,3.0,1808,20240915
Central Coast,Chum,501,Rivers Inlet,2,5,3,2,-989898,0,1,3.0,0.0,3.0,1.0,2.0,3.0,3.0,3.0,1808,20240915
Central Coast,Chum,502,Wannock,0,0,0,0,-989898,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Chum,503,Spiller-Fitz-Hugh-Burke,2,4,4,2,-989898,0,1,3.0,0.0,3.0,1.0,2.0,3.0,3.0,3.0,1808,20240915
Central Coast,Chum,504,Bella Coola-Dean Rivers,1,4,3,2,-989898,0,1,3.0,0.0,3.0,1.0,2.0,2.0,3.0,2.0,1808,20240915
Central Coast,Chum,505,Bella Coola River-Late,0,0,0,2,-989898,0,0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1808,20240915
Central Coast,Chum,506,Hecate Lowlands,2,5,3,2,-989898,3,1,3.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,1808,20240915
Central Coast,Chum,507,Mussel-Kynoch,2,5,3,2,-989898,0,1,3.0,0.0,3.0,1.0,2.0,3.0,3.0,3.0,1808,20240915
Central Coast,Chum,508,Douglas-Gardner,2,5,4,2,-989898,0,1,4.0,0.0,4.0,1.0,2.0,3.0,4.0,3.0,1808,20240915
Central Coast,Coho,516,Smith Inlet,0,0,0,1,-989898,0,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1808,20240915
Central Coast,Coho,517,Rivers Inlet,0,1,0,1,-989898,0,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1808,20240915
Central Coast,Coho,518,Bella Coola-Dean Rivers,0,1,0,1,-989898,0,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1808,20240915
Central Coast,Coho,519,Mussel-Kynoch,3,5,4,1,-989898,0,1,4.0,0.0,4.0,1.0,1.0,3.0,4.0,3.0,1808,20240915
Central Coast,Coho,520,Hecate Strait Mainland,2,4,3,1,-989898,3,1,3.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,1808,20240915
Central Coast,Coho,522,Douglas Channel-Kitimat Arm,0,1,0,1,-989898,0,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1808,20240915
Central Coast,Coho,523,Northern Coastal Streams,1,2,4,1,-989898,0,1,2.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,1808,20240915
Central Coast,Lake sockeye,524,Long,0,0,0,2,-989898,0,1,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,1808,20240915
Central Coast,Lake sockeye,525,Owikeno,2,5,3,2,-989898,0,1,3.0,0.0,3.0,1.0,2.0,3.0,3.0,3.0,1808,20240915
Central Coast,Lake sockeye,527,Wannock (Owikeno),0,0,0,0,-989898,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,528,South Atnarko Lakes,0,0,0,0,-989898,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,529,Backland,0,1,0,2,-989898,0,0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,1808,20240915
Central Coast,Lake sockeye,530,Soda Creek,0,0,0,0,-989898,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,532,Canoona,2,5,4,2,-989898,0,1,4.0,0.0,4.0,1.0,2.0,3.0,4.0,3.0,1808,20240915
Central Coast,Lake sockeye,533,Dome,0,0,0,0,-989898,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,534,Evelyn,3,5,5,2,-989898,0,1,4.0,0.0,4.0,1.0,2.0,4.0,4.0,4.0,1808,20240915
Central Coast,Lake sockeye,535,Kainet Creek,2,5,5,2,-989898,0,1,4.0,0.0,4.0,1.0,2.0,4.0,4.0,4.0,1808,20240915
Central Coast,Lake sockeye,536,Kimsquit,0,1,0,0,-989898,0,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1808,20240915
Central Coast,Lake sockeye,537,Kitkiata,0,1,0,0,-989898,0,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1808,20240915
Central Coast,Lake sockeye,538,Kitlope,0,1,0,2,-989898,0,1,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1808,20240915
Central Coast,Lake sockeye,539,Pine River,0,0,0,0,-989898,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,540,Banks,0,0,0,0,-989898,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,541,Bloomfield,0,1,0,2,-989898,0,1,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1808,20240915
Central Coast,Lake sockeye,542,Bolton Creek,0,0,0,0,-989898,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,543,Bonilla,0,0,0,0,-989898,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,544,Borrowman Creek,0,0,0,0,-989898,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,545,Busey Creek,0,0,0,0,-989898,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,546,Cartwright Creek,0,0,0,0,-989898,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,547,Chic Chic,0,0,0,0,-989898,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,548,Tuwartz,0,0,0,0,-989898,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,549,Fannie Cove,0,1,0,0,-989898,0,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1808,20240915
Central Coast,Lake sockeye,550,Curtis Inlet,0,0,0,2,-989898,0,0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1808,20240915
Central Coast,Lake sockeye,551,Dallain Creek,0,0,0,0,-989898,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,552,Deer,0,1,0,0,-989898,0,0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1808,20240915
Central Coast,Lake sockeye,553,Devon,0,0,0,2,-989898,0,0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1808,20240915
Central Coast,Lake sockeye,554,Douglas Creek,0,0,0,0,-989898,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,555,Elizabeth,0,0,0,0,-989898,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,556,Elsie/Hoy,0,0,0,0,-989898,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,557,End Hill Creek,0,0,0,0,-989898,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,558,Evinrude Inlet,0,0,0,0,-989898,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,559,Freeda,0,1,0,2,-989898,0,0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,1808,20240915
Central Coast,Lake sockeye,560,Hartley Bay,2,5,5,2,-989898,0,1,4.0,0.0,4.0,1.0,2.0,4.0,4.0,4.0,1808,20240915
Central Coast,Lake sockeye,561,Hevenor Inlet,0,0,0,0,-989898,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,562,Higgins Lagoon,0,0,0,0,-989898,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,563,Kadjusdis River,0,1,0,2,-989898,0,1,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1808,20240915
Central Coast,Lake sockeye,564,Kdelmashan Creek,0,0,0,0,-989898,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,565,Keecha,0,0,0,2,-989898,0,0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1808,20240915
Central Coast,Lake sockeye,566,Kent Inlet Lagoon Creek,0,0,0,0,-989898,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,567,Kenzuwash Creeks,0,0,0,0,-989898,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,568,Keswar Creek,0,0,0,0,-989898,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,569,Kildidt Creek,0,0,0,0,-989898,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,570,Kildidt Lagoon Creek,0,0,0,0,-989898,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,571,Kisameet,0,1,0,0,-989898,0,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1808,20240915
Central Coast,Lake sockeye,572,Koeye,3,5,4,2,-989898,0,1,4.0,0.0,4.0,1.0,2.0,4.0,4.0,4.0,1808,20240915
Central Coast,Lake sockeye,573,Kooryet,0,1,0,2,-989898,0,0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,1808,20240915
Central Coast,Lake sockeye,574,Kunsoot River,0,0,0,0,-989898,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,575,Kwakwa Creek,1,5,2,2,-989898,0,1,3.0,0.0,3.0,1.0,2.0,2.0,3.0,2.0,1808,20240915
Central Coast,Lake sockeye,576,Lewis Creek,0,0,0,0,-989898,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,577,Limestone Creek,0,0,0,0,-989898,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,578,Lowe/Simpson/Weir,0,1,0,2,-989898,0,0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,1808,20240915
Central Coast,Lake sockeye,579,Mary Cove Creek,0,0,0,2,-989898,3,1,0.0,3.0,0.0,1.0,2.0,2.0,0.0,2.0,1808,20240915
Central Coast,Lake sockeye,580,Mcdonald Creek,0,0,0,0,-989898,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,581,Mcloughlin,0,0,0,0,-989898,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,582,Mikado,0,0,0,2,-989898,0,0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1808,20240915
Central Coast,Lake sockeye,583,Monckton Inlet Creek,0,0,0,0,-989898,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,584,Namu,2,5,5,2,-989898,0,1,4.0,0.0,4.0,1.0,2.0,4.0,4.0,4.0,1808,20240915
Central Coast,Lake sockeye,585,Port John,2,5,3,2,-989898,0,1,3.0,0.0,3.0,1.0,2.0,3.0,3.0,3.0,1808,20240915
Central Coast,Lake sockeye,586,Powles Creek,0,0,0,0,-989898,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808,20240915
Central Coast,Lake sockeye,587,Price Creek,0,1,0,0,-989898,0,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1808,20240915
Central Coast,Lake sockeye,588,Roderick,1,5,3,2,-989898,3,0,3.0,3.0,3.0,0.0,2.0,3.0,3.0,3.0,1808,20240915
