"","stock.id","species","stock","region","sub.region","jurisdiction","lat","lon","source.id","comment","ocean.region"
"28","328","Chum","Outer CIn","Cook Inlet","Cook Inlet","AK","59.38389","150.7528","9, 10","","GOA"
"29","329","Chum","S CIn","Cook Inlet","Cook Inlet","AK","59.52528","151.48","9, 10","","GOA"
"30","330","Chum","Upper CIn","Cook Inlet","Cook Inlet","AK","61.271","150.576","11","","GOA"
"31","331","Chum","Alitak","Kodiak","Kodiak","AK","56.88528","154.1217","12","","GOA"
"32","332","Chum","E Kod","Kodiak","Kodiak","AK","57.089858","153.187928","12","","GOA"
"33","333","Chum","SW Kod","Kodiak","Kodiak","AK","57.264508","154.613211","12","","GOA"
"34","334","Chum","NE Kod","Kodiak","Kodiak","AK","57.77889","152.3592","12","","GOA"
"35","335","Chum","NW Kod","Kodiak","Kodiak","AK","57.856839","153.882906","12","","GOA"
"36","336","Chum","Mainland Kod","Kodiak","Kodiak","AK","58.03333","154.6644","12","","GOA"
"37","337","Chum","Perryville","Chignik","Chignik","AK","55.85417","159.3314","13, 14","","GOA"
"38","338","Chum","W Chig","Chignik","Chignik","AK","56.06667","158.6756","13, 14","","GOA"
"39","339","Chum","Central Chig","Chignik","Chignik","AK","56.59639","157.9933","13, 14","","GOA"
"40","340","Chum","E Chig","Chignik","Chignik","AK","56.98528","156.5806","13, 14","","GOA"
"41","341","Chum","SW-Unimak","AK Peninsula","AK Peninsula","AK","54.5","163.5","12","Sum of Southwestern and Unimak Districts","BS"
"42","342","Chum","W-NW AKPen","AK Peninsula","AK Peninsula","AK","54.982","163.37","12","Sum of Dublin, Bechevin & Urilia Bays, Swanson Lagoon","BS"
"43","343","Chum","E-NW AKPen","AK Peninsula","AK Peninsula","AK","55.3158","162.845","12","Sum of Izembek and Moffet Bay","BS"
"44","344","Chum","SE-SC AKPen","AK Peninsula","AK Peninsula","AK","55.5","161","12","Sum of Southeastern and Southcentral Districts","BS"
"45","345","Chum","N AKPen","AK Peninsula","AK Peninsula","AK","56.46","159.68","12","","BS"
"46","346","Chum","Nushagak","Bristol Bay","Bristol Bay","AK","58.622","158.591","15","","BS"
"47","347","Chum","Togiak","Bristol Bay","Bristol Bay","AK","58.925","160.446","15","","BS"
"48","348","Chum","Yukon","AYK","AYK","AK","62.78","164.96","16, 17","Fall Run","BS"
"49","349","Chum","Anvik","AYK","AYK","AK","62.78","164.96","16, 18","","BS"
"50","350","Chum","Andreafsky","AYK","AYK","AK","62.78","164.96","16, 19","","BS"
"51","351","Chum","Norton Sound","AYK","AYK","AK","64.52","165.12","16, 20","District 1","BS"
"52","352","Chum","Kwiniuk Inlet","AYK","AYK","AK","64.72","161.96","16, 21","Sum of Kwiniuk and Tubutulik Rivers","BS"
"53","353","Chum","Kotzebue","AYK","AYK","AK","66.46","161.91","16, 22","","BS"
"54","355","Chum","Bella Coola-Dean Rivers","SEAK","BC North","BC",NA,NA,"24","","WC"
"55","356","Chum","Georgia Strait","WC","BC South","BC",NA,NA,"24","","WC"
"56","357","Chum","Mussel-Kynoch","WC","BC North","BC",NA,NA,"24","","WC"
"57","358","Chum","Douglas-Gardner","SEAK","BC North","BC",NA,NA,"24","","WC"
"58","359","Chum","Smith Inlet","WC","BC Central","BC",NA,NA,"24","","WC"
"59","360","Chum","Lower Skeena","SEAK","BC North","BC",NA,NA,"24","","WC"
"60","361","Chum","Middle Skeena","SEAK","BC North","BC",NA,NA,"24","","WC"
"61","362","Chum","Skidegate","SEAK","BC North","BC",NA,NA,"24","","WC"
"62","363","Chum","Southwest & West Vancouver Island","SEAK","BC South","BC",NA,NA,"24","","WC"
"63","364","Chum","East Haida Gwaii","SEAK","BC North","BC",NA,NA,"24","","WC"
"64","365","Chum","Hecate Lowlands","WC","BC Central","BC",NA,NA,"24","","WC"
"65","366","Chum","Northwest Vancouver Island","WC","BC South","BC",NA,NA,"24","","WC"
"66","367","Chum","Spiller-Fitz-Hugh-Burke","WC","BC Central","BC",NA,NA,"24","","WC"
"67","368","Chum","North Haida Gwaii-Stanley Creek","SEAK","BC North","BC",NA,NA,"24","","WC"
"68","369","Chum","West Haida Gwaii","SEAK","BC North","BC",NA,NA,"24","","WC"
"69","370","Chum","North Haida Gwaii","SEAK","BC North","BC",NA,NA,"24","","WC"
"70","371","Chum","Rivers Inlet","WC","BC Central","BC",NA,NA,"24","","WC"
"71","372","Chum","Loughborough","WC","BC Central","BC",NA,NA,"24","","WC"
"72","373","Chum","Northeast Vancouver Island","WC","BC South","BC",NA,NA,"24","","WC"
"73","374","Chum","Skeena Estuary","SEAK","BC North","BC",NA,NA,"24","","WC"
"74","375","Chum","Lower Fraser","WC","BC South","BC",NA,NA,"24","","WC"
"75","376","Chum","Southern Coastal Streams","WC","BC South","BC",NA,NA,"24","","WC"
"76","354","Chum","Strait of Juan de Fuca","Inside WA","Inside WA","WA","48.1618","-123.59","23",NA,"WC"
