"stock.id","species","stock","region","sub.region","broodyear","spawners","recruits","use","recruits.2","recruits.3","recruits.4","recruits.5","recruits.6","recruits.7","age"
"303","Chum","S Sound Summer","Inside WA","Inside WA",2015,32521,21360,1,NA,11816,8021,1523,NA,NA,"data"
"303","Chum","S Sound Summer","Inside WA","Inside WA",2016,19068,23326,1,NA,8104,13605,1618,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1968,46975,327937,1,NA,77278,239838,10821,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1969,35602,151089,1,NA,35500,109917,5671,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1970,41655,177181,1,NA,69102,107058,1021,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1971,43698,101659,1,NA,59114,42049,496,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1972,65211,101964,1,NA,17000,83024,1940,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1973,55301,293525,1,NA,164313,127418,1793,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1974,99537,296197,1,NA,86024,208567,1607,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1975,31104,100748,1,NA,88447,11438,864,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1976,53313,62192,1,NA,13607,47504,1081,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1977,54084,379120,1,NA,239824,134345,4950,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1978,105465,107106,1,NA,18839,79602,8665,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1979,18750,233700,1,NA,113463,114291,5946,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1980,85454,102442,1,NA,14304,84392,3746,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1981,43268,313764,1,NA,138367,165588,9809,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1982,31149,212998,1,NA,80172,121386,11440,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1983,36686,237140,1,NA,43965,179339,13836,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1984,73317,452560,1,NA,145692,294672,12196,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1985,99351,176062,1,NA,65067,95916,15080,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1986,89809,325908,1,NA,42612,259483,23812,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1987,153538,144861,1,NA,9958,117487,17415,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1988,93893,520249,1,NA,83117,384438,52694,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1989,47908,158981,1,NA,33089,111806,14087,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1990,106807,529139,1,NA,172944,327750,28445,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1991,82943,193974,1,NA,127719,63323,2932,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1992,138805,735924,1,NA,247197,469115,19612,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1993,133691,133065,1,NA,71540,53363,8162,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1994,237123,299491,1,NA,35424,256441,7626,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1995,200592,457066,1,NA,317328,137516,2222,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1996,329074,263613,1,NA,71771,176590,15252,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1997,69872,395768,1,NA,41769,324492,29507,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1998,367456,951198,1,NA,485950,452801,12446,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",1999,149638,805863,1,NA,288875,465646,51343,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",2000,95136,837397,1,NA,107322,681900,48175,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",2001,274278,370716,1,NA,137434,218597,14684,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",2002,262335,430803,1,NA,108881,308702,13220,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",2003,262203,1113891,1,NA,449537,647794,16560,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",2004,311832,469919,1,NA,241882,218960,9076,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",2005,131369,324302,1,NA,127328,186408,10567,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",2006,310561,410386,1,NA,103256,288939,18191,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",2007,328520,643504,1,NA,177902,412902,52700,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",2008,127068,248581,1,NA,12709,209841,26031,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",2009,136462,569175,1,NA,191875,349796,27504,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",2010,162410,581957,1,NA,120937,417330,43690,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",2011,143589,233288,1,NA,52507,170801,9980,NA,NA,"data"
"304","Chum","S Sound Fall","Inside WA","Inside WA",2012,150384,381450,1,NA,187408,184771,9271,NA,NA,"data"
