,stock.id,species,stock.name,lat,lon,region,ocean.basin,state,begin,end,n.years,m.spawners,m.recruits,source,url,comments,age
15,15,Sockeye,Chilko-Sockeye,49.12,-123.06,Fraser,WC,BC,1948,2015,68,225.7188824,1425.324588,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA,NA
16,16,Sockeye,Seymour-Sockeye,49.12,-123.06,Fraser,WC,BC,1948,2015,68,18.94005882,138.2543676,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA,NA
17,17,Sockeye,Late Shuswap-Sockeye,49.12,-123.06,Fraser,WC,BC,1948,2015,67,348.2411045,2298.870522,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA,NA
18,18,Sockeye,Birkenhead-Sockeye,49.12,-123.06,Fraser,WC,BC,1948,2015,68,43.50376471,338.8882941,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA,NA
19,19,Sockeye,Cultus-Sockeye,49.12,-123.06,Fraser,WC,BC,1948,2015,68,10.32229412,34.62955882,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA,NA
20,20,Sockeye,Portage-Sockeye,49.12,-123.06,Fraser,WC,BC,1951,2015,62,3.631387097,40.20590323,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA,NA
21,21,Sockeye,Weaver-Sockeye,49.12,-123.06,Fraser,WC,BC,1966,2015,50,21.63456,308.54896,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA,NA
22,22,Sockeye,North Barriere-Sockeye,49.12,-123.06,Fraser,WC,BC,1958,2015,53,3.521490566,20.57024528,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA,NA
23,23,Sockeye,Scotch-Sockeye,49.12,-123.06,Fraser,WC,BC,1948,2015,53,12.37026415,76.53707547,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA,NA
24,24,Sockeye,Gates-Sockeye,49.12,-123.06,Fraser,WC,BC,1952,2015,64,4.505796875,44.56434375,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA,NA
25,25,Sockeye,Nadina-Sockeye,49.12,-123.06,Fraser,WC,BC,1973,2015,43,9.61444186,83.62123256,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA,NA
26,26,Sockeye,Pitt-Sockeye,49.12,-123.06,Fraser,WC,BC,1948,2015,68,15.01961765,69.33113235,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA,NA
27,27,Sockeye,Harrison-Sockeye,49.12,-123.06,Fraser,WC,BC,1948,2015,68,29.87602941,121.3314265,"Eric Taylor, Pacific Salmon Commission, 2022",NA,NA,NA
28,28,Sockeye,Babine-Early-Wild-Sockeye,54.22,-129.831,Skeena,WC,BC,1960,2015,56,54.48480357,106.4806862,"Charmaine Carr-Harris, DFO, 2023",NA,NA,NA
29,29,Sockeye,Babine-Late-Wild-Sockeye,54.22,-129.831,Skeena,WC,BC,1960,2015,56,227.3312321,566.666752,"Charmaine Carr-Harris, DFO, 2023",NA,NA,NA
30,30,Sockeye,Babine-Mid-Wild-Sockeye,54.22,-129.831,Skeena,WC,BC,1960,2015,56,22.72428571,47.42812368,"Charmaine Carr-Harris, DFO, 2023",NA,NA,NA
31,31,Sockeye,Alastair-Sockeye,54.22,-129.831,Skeena,WC,BC,1960,2016,57,19.39729825,26.22157313,"Charmaine Carr-Harris, DFO, 2023",NA,NA,NA
32,32,Sockeye,Johnston-Sockeye,54.22,-129.831,Skeena,WC,BC,1965,1997,11,4.640545455,10.19289402,"Charmaine Carr-Harris, DFO, 2023",NA,NA,NA
33,33,Sockeye,Kitsumkalum-Sockeye,54.22,-129.831,Skeena,WC,BC,1960,2017,47,9.631978723,20.31901006,"Charmaine Carr-Harris, DFO, 2023",NA,NA,NA
34,34,Sockeye,Lakelse-Sockeye,54.22,-129.831,Skeena,WC,BC,1960,2017,52,16.472,19.49143226,"Charmaine Carr-Harris, DFO, 2023",NA,NA,NA
35,35,Sockeye,Mcdonell-Sockeye,54.22,-129.831,Skeena,WC,BC,1960,2017,38,4.277789474,5.541969409,"Charmaine Carr-Harris, DFO, 2023",NA,NA,NA
36,36,Sockeye,Kitwancool-Sockeye,54.22,-129.831,Skeena,WC,BC,1960,2017,20,3.3579,4.44807311,"Charmaine Carr-Harris, DFO, 2023",NA,NA,NA
37,37,Sockeye,Morice-Sockeye,54.22,-129.831,Skeena,WC,BC,1960,2016,52,11.13561538,21.69146215,"Charmaine Carr-Harris, DFO, 2023",NA,NA,NA
38,38,Sockeye,Swan-Stephens-Sockeye,54.22,-129.831,Skeena,WC,BC,1960,2017,27,26.23877778,42.31774704,"Charmaine Carr-Harris, DFO, 2023",NA,NA,NA
39,39,Sockeye,Asitika-Sockeye,54.22,-129.831,Skeena,WC,BC,2003,2017,14,1.160285714,1.814099128,"Charmaine Carr-Harris, DFO, 2023",NA,NA,NA
40,40,Sockeye,Bear-Skeena-Sockeye,54.22,-129.831,Skeena,WC,BC,1960,2016,21,3.302714286,7.338925238,"Charmaine Carr-Harris, DFO, 2023",NA,NA,NA
41,41,Sockeye,Damshilgwit-Sockeye,54.22,-129.831,Skeena,WC,BC,2000,2017,16,0.452625,0.66105,"Charmaine Carr-Harris, DFO, 2023",NA,NA,NA
42,42,Sockeye,Motase-Sockeye,54.22,-129.831,Skeena,WC,BC,1987,2017,19,0.534263158,0.826082255,"Charmaine Carr-Harris, DFO, 2023",NA,NA,NA
43,43,Sockeye,Sustut-Sockeye,54.22,-129.831,Skeena,WC,BC,1963,2013,17,1.269411765,3.163770836,"Charmaine Carr-Harris, DFO, 2023",NA,NA,NA
44,44,Sockeye,Upper Nass River-Sockeye,54.99,-130.02,Nass,WC,BC,2003,2015,13,0.446923077,0.951329231,"Charmaine Carr-Harris, DFO, 2023",NA,NA,NA
45,45,Sockeye,Lower Nass-Portland-Sockeye,54.99,-130.02,Nass,WC,BC,1982,2015,34,10.13155882,27.66486088,"Charmaine Carr-Harris, DFO, 2023",NA,NA,NA
46,46,Sockeye,Meziadin-Sockeye,54.99,-130.02,Nass,WC,BC,1982,2015,34,185.1851765,506.6732708,"Charmaine Carr-Harris, DFO, 2023",NA,NA,NA
47,47,Sockeye,Damdochax-Sockeye,54.99,-130.02,Nass,WC,BC,1982,2011,21,3.712142857,11.67838095,"Salmon Watersheds Program, PSF, 2022",NA,NA,NA
48,48,Sockeye,Fred Wright-Sockeye,54.99,-130.02,Nass,WC,BC,1982,2012,18,8.423111111,31.11588889,"Salmon Watersheds Program, PSF, 2022",NA,NA,NA
49,49,Sockeye,Owikeno-Sockeye,51.68,-127.306,Central Coast,WC,BC,1954,2011,58,554.5099655,790.2854828,"Salmon Watersheds Program, PSF, 2022",NA,NA,NA
50,50,Sockeye,Canoona-Sockeye,53.08,-128.555,Central Coast,WC,BC,1975,2014,31,3.34516129,5.479903226,"Salmon Watersheds Program, PSF, 2022",NA,NA,NA
51,51,Sockeye,Evelyn-Sockeye,53.56,-128.958,Central Coast,WC,BC,1954,2014,49,1.693061224,3.461510204,"Salmon Watersheds Program, PSF, 2022",NA,NA,NA
52,52,Sockeye,Kainet Creek-Sockeye,52.75,-127.886,Central Coast,WC,BC,1956,2013,37,2.031351351,4.788216216,"Salmon Watersheds Program, PSF, 2022",NA,NA,NA
53,53,Sockeye,Kitlope-Sockeye,52.246,-127.892,Central Coast,WC,BC,1954,2014,51,37.7745098,61.05227451,"Salmon Watersheds Program, PSF, 2022",NA,NA,NA
54,54,Sockeye,Bloomfield-Sockeye,52.87,-128.69,Central Coast,WC,BC,1954,2008,44,1.43,2.54125,"Salmon Watersheds Program, PSF, 2022",NA,NA,NA
55,55,Sockeye,Devon-Sockeye,53.45,-129.787,Central Coast,WC,BC,1960,2002,39,7.358974359,9.201435897,"Salmon Watersheds Program, PSF, 2022",NA,NA,NA
56,56,Sockeye,Hartley Bay-Sockeye,53.42,-129.247,Central Coast,WC,BC,1955,2014,31,1.413225806,2.427774194,"Salmon Watersheds Program, PSF, 2022",NA,NA,NA
57,57,Sockeye,Kadjusdis River-Sockeye,52.16,-128.046,Central Coast,WC,BC,1954,2006,29,3.69337931,10.70241379,"Salmon Watersheds Program, PSF, 2022",NA,NA,NA
58,58,Sockeye,Keecha-Sockeye,53.31,-129.825,Central Coast,WC,BC,1960,2001,19,5.263157895,6.965,"Salmon Watersheds Program, PSF, 2022",NA,NA,NA
59,59,Sockeye,Koeye-Sockeye,51.77,-127.885,Central Coast,WC,BC,1954,2015,30,5.321066667,13.37493333,"Salmon Watersheds Program, PSF, 2022",NA,NA,NA
60,60,Sockeye,Kooryet-Sockeye,53.34,-129.867,Central Coast,WC,BC,1960,1994,19,6.631578947,6.533473684,"Salmon Watersheds Program, PSF, 2022",NA,NA,NA
61,61,Sockeye,Lowe-Simpson-Weir-Sockeye,53.56,-129.574,Central Coast,WC,BC,1960,1995,26,13.64615385,11.99173077,"Salmon Watersheds Program, PSF, 2022",NA,NA,NA
62,62,Sockeye,Mary Cove Creek-Sockeye,52.61,-128.45,Central Coast,WC,BC,1954,1996,33,3.208666667,6.658818182,"Salmon Watersheds Program, PSF, 2022",NA,NA,NA
63,63,Sockeye,Mikado-Sockeye,53.43,-129.836,Central Coast,WC,BC,1960,2001,33,4.53030303,5.866575758,"Salmon Watersheds Program, PSF, 2022",NA,NA,NA
64,64,Sockeye,Namu-Sockeye,51.86,-127.868,Central Coast,WC,BC,1954,2015,25,4.6208,6.71048,"Salmon Watersheds Program, PSF, 2022",NA,NA,NA
65,65,Sockeye,Port John-Sockeye,52.12,-127.852,Central Coast,WC,BC,1954,2010,18,1.076222222,2.060833333,"Salmon Watersheds Program, PSF, 2022",NA,NA,NA
66,66,Sockeye,Tankeeah River-Sockeye,52.29,-128.259,Central Coast,WC,BC,1954,2008,37,4.977027027,12.82289189,"Salmon Watersheds Program, PSF, 2022",NA,NA,NA
67,67,Sockeye,Tsimtack-Moore-Roger-Sockeye,53.36,-129.46,Central Coast,WC,BC,1960,2011,16,4.055625,6.7899375,"Salmon Watersheds Program, PSF, 2022",NA,NA,NA
68,68,Sockeye,Yeo-Sockeye,52.295,-128.115,Central Coast,WC,BC,1954,2008,27,1.310740741,2.377444444,"Salmon Watersheds Program, PSF, 2022",NA,NA,NA
69,69,Sockeye,Nimpkish-Sockeye,50.576,-126.96,Vancouver Island,WC,BC,1970,2012,43,58.37513953,65.47993023,"Salmon Watersheds Program, PSF, 2022",NA,NA,NA
70,70,Sockeye,Awun-Sockeye,53.665,-132.523,Haida Gwaii,WC,BC,1957,2016,53,6.550943396,8.280660377,"Salmon Watersheds Program, PSF, 2022",NA,NA,NA
71,71,Sockeye,Marian-Eden-Sockeye,53.975,-132.643,Haida Gwaii,WC,BC,1954,2016,45,14.07111111,16.17582222,"Salmon Watersheds Program, PSF, 2022",NA,NA,NA
72,72,Sockeye,Mercer-Sockeye,53.59,-132.907,Haida Gwaii,WC,BC,1954,2013,35,7.891428571,9.725628571,"Salmon Watersheds Program, PSF, 2022",NA,NA,NA
73,73,Sockeye,Skidegate-Sockeye,53.167,-131.789,Haida Gwaii,WC,BC,1956,2016,60,22.66651667,25.324,"Salmon Watersheds Program, PSF, 2022",NA,NA,NA
74,74,Sockeye,Yakoun-Sockeye,53.682,-132.235,Haida Gwaii,WC,BC,1957,2016,54,15.57592593,20.13640741,"Salmon Watersheds Program, PSF, 2022",NA,NA,NA
75,75,Sockeye,Kvichak-Sockeye,57.5,-157.6,Bristol Bay,BS,AK,1963,2014,52,4897.16275,10382.631,"A. Munro,2023",NA,NA,NA
76,76,Sockeye,Alagnak-Sockeye,58.25,-157.38,Bristol Bay,BS,AK,1963,2014,52,824.4837885,2010.944769,"A. Munro,2023",NA,NA,NA
77,77,Sockeye,Naknek-Sockeye,58.78,-157.08,Bristol Bay,BS,AK,1963,2014,52,1408.975885,4400.853615,"A. Munro,2023",NA,NA,NA
78,78,Sockeye,Ugashik-Sockeye,58.85,-158.5,Bristol Bay,BS,AK,1963,2014,52,924.8109231,3356.575981,"A. Munro,2023",NA,NA,NA
79,79,Sockeye,Egegik-Sockeye,58.85,-157.03,Bristol Bay,BS,AK,1963,2014,52,1158.393654,6807.491288,"A. Munro,2023",NA,NA,NA
80,80,Sockeye,Nushagak-Sockeye,58.82,-158.49,Bristol Bay,BS,AK,1963,2014,52,573.037,1950.183519,"A. Munro,2023",NA,NA,NA
81,81,Sockeye,Igushik-Sockeye,58.82,-158.62,Bristol Bay,BS,AK,1963,2014,52,364.8444615,856.8968269,"A. Munro,2023",NA,NA,NA
82,82,Sockeye,Wood-Sockeye,58.68,-158.8,Bristol Bay,BS,AK,1963,2014,52,1308.842058,4801.464288,"A. Munro,2023",NA,NA,NA
83,83,Sockeye,Togiak-Sockeye,58.95,-160.45,Bristol Bay,BS,AK,1956,2017,62,188.0247258,616.4524839,"A. Munro,2023",NA,NA,NA
84,84,Sockeye,Kasilof-Sockeye,60.39,-151.3,Cook Inlet,GOA,AK,1968,2016,49,236.996102,779.3825714,"A. Munro,2023",NA,NA,NA
85,85,Sockeye,Kenai-Sockeye,60.54,-151.28,Cook Inlet,GOA,AK,1968,2016,49,893.0023061,3317.111286,"A. Munro,2023",NA,NA,NA
86,86,Sockeye,Goodnews-Sockeye,59.11,-161.62,AYK,BS,AK,1981,2015,35,40.51557143,63.64308571,"A. Munro,2023",NA,NA,NA
87,87,Sockeye,Redoubt-Sockeye,56.9,-135.33,Southeast Alaska,GOA,AK,1982,2016,35,30.93297143,44.4864,"A. Munro,2023",NA,NA,NA
88,88,Sockeye,Chilkoot-Sockeye,58.92,-135.23,Southeast Alaska,GOA,AK,1976,2016,41,68.46965854,162.3206098,"A. Munro,2023",NA,NA,NA
89,89,Sockeye,Upper Station Late sockeye-Sockeye,57.06,-154.36,Kodiak,GOA,AK,1970,2015,46,167.5308913,411.4372826,"A. Munro,2023",NA,NA,NA
90,90,Sockeye,Upper Station Early Sockeye-Sockeye,57.06,-154.36,Kodiak,GOA,AK,1969,2015,47,49.20931915,95.5893617,"A. Munro,2023",NA,NA,NA
91,91,Sockeye,Ayakulik-Sockeye,57.2,-154.54,Kodiak,GOA,AK,1966,2015,50,265.34694,536.50786,"A. Munro,2023",NA,NA,NA
92,92,Sockeye,Karluk Late-Sockeye,57.57,-154.45,Kodiak,GOA,AK,1982,2015,34,412.4687647,790.8482059,"A. Munro,2023",NA,NA,NA
93,93,Sockeye,Karluk Early-Sockeye,57.57,-154.45,Kodiak,GOA,AK,1982,2015,34,259.1032647,402.0731176,"A. Munro,2023",NA,NA,NA
94,94,Sockeye,Chignik Early-Sockeye,56.28,-158.64,Chignik,GOA,AK,1983,2015,33,460.2469394,1163.560879,"A. Munro,2023",NA,NA,NA
95,95,Sockeye,Chignik Late-Sockeye,56.28,-158.64,Chignik,GOA,AK,1983,2015,33,314.8715152,943.1610909,"A. Munro,2023",NA,NA,NA
96,96,Sockeye,Bear-Sockeye,56.16,-160.45,AYK,BS,AK,1982,2015,34,155.827,551.3473529,"A. Munro,2023",NA,NA,NA
97,97,Sockeye,Nelson-Sockeye,55.96,-161.28,AYK,BS,AK,1982,2015,34,221.0861765,484.5308824,"A. Munro,2023",NA,NA,NA
98,98,Sockeye,Great Central Lake-Sockeye,49.24,-124.8,Vancouver Island,WC,BC,1977,2016,40,190.0865573,1383.228,"Colin Bailey, DFO, 2023",NA,NA,NA
99,99,Sockeye,Sproat Lake-Sockeye,49.24,-124.8,Vancouver Island,WC,BC,1977,2016,40,190.0865573,380.05145,"Colin Bailey, DFO, 2023",NA,NA,NA
100,100,Chum,Willapa Bay-Chum,46.3733,-123.9575,Outside WA,WC,WA,1968,2016,49,32.05659184,53.59438776,"Marisa Litz, WDFW, 2023",NA,,1
101,101,Chum,Grays Harbour-Chum,46.95083,-124.0497,Outside WA,WC,WA,1969,2016,44,21.83690909,38.82513636,"Marisa Litz, WDFW, 2023",NA,,1
102,102,Chum,S Sound Summer-Chum,47.042,-122.835,Inside WA,WC,WA,1968,2016,49,28.16973469,44.83536735,"Marisa Litz, WDFW, 2023",NA,,1
103,103,Chum,S Sound Fall-Chum,47.042,-122.835,Inside WA,WC,WA,1968,2016,49,133.0235714,356.9730612,"Marisa Litz, WDFW, 2023",NA,,1
104,104,Chum,S Sound Winter-Chum,47.042,-122.835,Inside WA,WC,WA,1968,2016,49,35.1217551,56.01418367,"Marisa Litz, WDFW, 2023",NA,,1
105,105,Chum,Hood Canal-Chum,47.5644,-122.9956,Inside WA,WC,WA,1968,2016,49,58.98214286,189.1033673,"Marisa Litz, WDFW, 2023",NA,,1
106,106,Chum,Port Susan-Chum,48.23861,-122.3758,Inside WA,WC,WA,1968,2016,49,72.75761224,116.5000408,"Marisa Litz, WDFW, 2023",NA,Sum of Stillaguamish and Snohomish stocks,1
107,107,Chum,Skagit-Chum,48.3875,-122.3656,Inside WA,WC,WA,1968,2016,49,61.20283673,98.27118367,"Marisa Litz, WDFW, 2023",NA,,1
108,108,Chum,Bellingham-Chum,48.775,-122.5978,Inside WA,WC,WA,1968,2016,49,33.85853061,64.0632449,"Marisa Litz, WDFW, 2023",NA,Sum of Nooksack and Samish stocks,1
109,109,Chum,Strait of Juan de Fuca-Chum,48.1618,-123.59,Inside WA,WC,WA,1968,2016,49,2.41,2.805938776,"Salmon Watersheds Program, PSF, 2022",NA,NA,1
110,110,Chum,Fraser-Chum,49.12333,-123.0569,South Coast,WC,BC,1959,1992,34,420.8459706,886.1851575,"Ryall, P., C. Murray, V. Palermo, D. Bailey, and D. Chen. 1999. Status of Clockwork Chum Salmon Stock and Review of the Clockwork Management Strategy. Technical report, Canadian Department of Fisheries and Oceans, Canadian Stock Assessment Secretariat Research Document 99/169",NA,,1
111,111,Chum,BC South (no Fraser)-Chum,50.28778,-125.2008,South Coast,WC,BC,1953,2002,50,799.0815,1310.96352,"Pieter Van Will, Fisheries and Oceans Canada (DFO), Port Hardy, BC; Van Will, P., R. Brahniuk, L. Hop Wo, and G. Pestal. 2009. Certification Unit Profile: Inner South Coast Chum Salmon (Excluding Fraser River). Technical report, Canadian Manuscript Report of Fisheries and Aquatic Sciences 2876",NA,"Statistical Areas 11-17, 28A, 28B, 29B",0
112,112,Chum,Kadashan-Chum,57.575,-134.75,SEAK,WC,AK,1969,1984,16,27.237,60.5985625,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK",NA,,0
113,113,Chum,Chilkat-Chum,59.201231,-135.466669,SEAK,WC,AK,1994,2005,12,173.1780833,353.1806091,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK",NA,,0
114,114,Chum,East Alsek-Chum,59.434,-139.547,Yakutat,WC,AK,1960,1987,21,11.8,22.98542857,"Steve Heinl, Alaska Department of Fish and Game (ADFG), Ketchikan, AK",NA,,0
115,115,Chum,PWS-Chum,60.5,-147,PWS,WC,AK,1965,2004,40,200.069475,1434.284625,"Botz, J., G. Hollowell, T. Sheridan, R. Brenner, and S. Moffitt. 2012. 2010 Prince William Sound Area Finfish Management Report. Technical report, Fishery Management Report No. 12-06, Alaska Department of Fish and Game",NA,,0
116,116,Chum,Kamishak-Chum,59.27,-154.1175,Cook Inlet,GOA,AK,1971,2006,34,91.23235294,147.2120882,"Ted Otis, Alaska Department of Fish and Game (ADFG), Homer, AK; Hollowell, G., T. Otis, and E. Ford. 2012. 2011 Lower Cook Inlet area finfish management report. Technical report, Fishery Management Report No. 12-30, Alaska Department of Fish and Game",NA,,0
117,117,Chum,Outer CIn-Chum,59.38389,-150.7528,Cook Inlet,GOA,AK,1970,2006,37,27.40810811,55.42624324,"Ted Otis, Alaska Department of Fish and Game (ADFG), Homer, AK; Hollowell, G., T. Otis, and E. Ford. 2012. 2011 Lower Cook Inlet area finfish management report. Technical report, Fishery Management Report No. 12-30, Alaska Department of Fish and Game",NA,,0
118,118,Chum,S CIn-Chum,59.52528,-151.48,Cook Inlet,GOA,AK,1970,2006,37,2.881081081,8.016216216,"Ted Otis, Alaska Department of Fish and Game (ADFG), Homer, AK; Hollowell, G., T. Otis, and E. Ford. 2012. 2011 Lower Cook Inlet area finfish management report. Technical report, Fishery Management Report No. 12-30, Alaska Department of Fish and Game",NA,,0
119,119,Chum,Upper CIn-Chum,61.271,-150.576,Cook Inlet,GOA,AK,1971,2008,35,9.130171429,18.04002857,"Patrick Shields, Alaska Department of Fish and Game (ADFG), Soldotna, AK",NA,,0
120,120,Chum,Alitak-Chum,56.88528,-154.1217,Kodiak,GOA,AK,1978,2007,30,43.7191,102.2122333,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,,0
121,121,Chum,E Kod-Chum,57.089858,-153.187928,Kodiak,GOA,AK,1978,2007,30,93.9816,240.925,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,,0
122,122,Chum,SW Kod-Chum,57.264508,-154.613211,Kodiak,GOA,AK,1978,2007,30,44.9189,65.542,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,,0
123,123,Chum,NE Kod-Chum,57.77889,-152.3592,Kodiak,GOA,AK,1978,2007,30,14.96173333,31.28806667,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,,0
124,124,Chum,NW Kod-Chum,57.856839,-153.882906,Kodiak,GOA,AK,1978,2007,30,94.0711,360.1969667,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,,0
125,125,Chum,Mainland Kod-Chum,58.03333,-154.6644,Kodiak,GOA,AK,1978,2007,30,205.6781,348.3226333,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,,0
126,126,Chum,Perryville-Chum,55.85417,-159.3314,Chignik,GOA,AK,1962,2007,46,49.62767391,72.63836957,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",NA,,0
127,127,Chum,W Chig-Chum,56.06667,-158.6756,Chignik,GOA,AK,1962,2007,46,36.99852174,104.2571957,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",NA,,0
128,128,Chum,Central Chig-Chum,56.59639,-157.9933,Chignik,GOA,AK,1962,2007,46,34.5883913,73.50634783,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",NA,,0
129,129,Chum,E Chig-Chum,56.98528,-156.5806,Chignik,GOA,AK,1962,2007,46,120.0811739,156.5152609,"Charles Russell, Alaska Department of Fish and Game (ADFG), Kodiak, AK; Owen, D. and D. Sarafin. 1999. Chignik Management Area Annual Finfish Management Report, 1996. Technical report, Regional Information Report No. 4K99-33, Alaska Department of Fish and Game ",NA,,0
130,130,Chum,SW-Unimak-Chum,54.5,-163.5,AK Peninsula,BS,AK,1962,2007,46,198.4014348,415.7675652,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,Sum of Southwestern and Unimak Districts,0
131,131,Chum,W-NW AKPen-Chum,54.982,-163.37,AK Peninsula,BS,AK,1962,2007,46,42.76195652,70.92647826,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,"Sum of Dublin, Bechevin & Urilia Bays, Swanson Lagoon",0
132,132,Chum,E-NW AKPen-Chum,55.3158,-162.845,AK Peninsula,BS,AK,1962,2007,46,174.2418478,233.013,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,Sum of Izembek and Moffet Bay,0
133,133,Chum,SE-SC AKPen-Chum,55.5,-161,AK Peninsula,BS,AK,1962,2007,46,288.1812174,704.7968913,"Matt Foster, Alaska Department of Fish and Game (ADFG), Kodiak, AK",NA,Sum of Southeastern and Southcentral Districts,0
