"","stock.id","species","stock","region","sub.region","jurisdiction","lat","lon","source.id","comment","ocean.region"
"21","257","Pink","Middle-Upper Skeena (even)","SEAK","BC North","BC",NA,NA,"16","","WC"
"22","260","Pink","Middle-Upper Skeena (odd)","WC","BC North","BC",NA,NA,"16","","WC"
"23","251","Pink","Nahwitti (odd)","WC","BC Central","BC",NA,NA,"16","","WC"
"24","254","Pink","Nass-Skeena Estuary (even)","SEAK","BC North","BC",NA,NA,"16","","WC"
"25","261","Pink","Nass-Skeena Estuary (odd)","SEAK","BC North","BC",NA,NA,"16","","WC"
"26","263","Pink","North Haida Gwaii ","SEAK","BC North","BC",NA,NA,"16","","WC"
"27","265","Pink","West Haida Gwaii ","SEAK","BC North","BC",NA,NA,"16","","WC"
"28","243","Pink","Nushagak","Bristol Bay","Bristol Bay","AK","58.62222","158.5911","13","","BS"
"29","230","Pink","Afognak","Kodiak","Kodiak","AK","58.26222","152.5883","10","","GOA"
"30","232","Pink","Alitak","Kodiak","Kodiak","AK","56.88528","154.1217","10","","GOA"
"31","233","Pink","E Kod","Kodiak","Kodiak","AK","57.089858","153.187928","10","","GOA"
"32","234","Pink","Mainland Kod","Kodiak","Kodiak","AK","58.03333","154.6644","10","","GOA"
"33","242","Pink","NW AKPen","AK Peninsula","AK Peninsula","AK","54.982","163.37","10","","BS"
"34","240","Pink","SE-SC AKPen","AK Peninsula","AK Peninsula","AK","55.5","161","10","Sum of Southeastern and Southcentral Districts","BS"
"35","241","Pink","SW-Unimak","AK Peninsula","AK Peninsula","AK","54.5","163.5","10","Sum of Southwestern and Unimak Districts","BS"
"36","231","Pink","W Kod","Kodiak","Kodiak","AK","57.11389","154.4947","10","","GOA"
"37","229","Pink","Kamishak","Cook Inlet","Cook Inlet","AK","59.27","154.1175","9","Sum of Bruin River, Sunday Creek, Brown's Peak Creek","GOA"
"38","228","Pink","Outer CIn","Cook Inlet","Cook Inlet","AK","59.38389","150.7528","9","Sum of Port Chatham, Port Dick, Rocky River, Windy Creek, South Nuka","GOA"
"39","227","Pink","S CIn","Cook Inlet","Cook Inlet","AK","59.52528","151.48","9","Sum of Humpy Creek, Seldovia Bay","GOA"
"40","226","Pink","PWS","PWS","PWS","AK","60.5","147","8","","GOA"
"41","220","Pink","Area 1","BC North","BC North","BC","54.071771","132.204764","4","","WC"
"42","210","Pink","Area 10","BC Central","BC Central","BC","51.28722","127.6819","4","","WC"
"43","219","Pink","Area 2E","BC North","BC North","BC","53.0175","131.5778","4","","WC"
"44","218","Pink","Area 2W","BC North","BC North","BC","52.988408","132.411026","4","","WC"
"45","217","Pink","Area 3","BC North","BC North","BC","54.676678","130.502152","4","","WC"
"46","216","Pink","Area 4","BC North","BC North","BC","54.247243","130.477433","4","","WC"
"47","215","Pink","Area 5","BC North","BC North","BC","53.66302","130.423874","4","","WC"
"48","214","Pink","Area 6","BC North","BC North","BC","53.08889","129.1992","4","","WC"
"49","213","Pink","Area 7","BC Central","BC Central","BC","52.12916","128.380149","4","","WC"
"50","212","Pink","Area 8","BC Central","BC Central","BC","51.62194","127.8289","4","","WC"
"51","211","Pink","Area 9","BC Central","BC Central","BC","51.46556","127.7422","4","","WC"
"52","209","Pink","BC South (no Fraser)","BC South","BC South","BC","50.28778","125.2008","3","Statistical Areas 11-16","WC"
"53","208","Pink","Fraser","Fraser River","BC South","BC","49.12333","123.0569","2","","WC"
"54","204","Pink","Dungeness","Inside WA","Inside WA","WA","48.1508","123.1333","1","","WC"
"55","202","Pink","Hood Canal","Inside WA","Inside WA","WA","47.5644","122.9956","1","Sum of Dosewallips, Duckabush, and Hamma Hamma","WC"
"56","207","Pink","Nooksack","Inside WA","Inside WA","WA","48.775","122.5978","1","","WC"
"57","201","Pink","Puyallup","Inside WA","Inside WA","WA","47.26972","122.4272","1","","WC"
"58","206","Pink","Skagit","Inside WA","Inside WA","WA","48.3875","122.3656","1","","WC"
"59","203","Pink","Snohomish","Inside WA","Inside WA","WA","48.02139","122.2072","1","","WC"
"60","205","Pink","Stillaguamish","Inside WA","Inside WA","WA","48.23861","122.3758","1","","WC"
"61","247","Pink","Nisqually","Inside WA","Inside WA","WA","47.101","-122.706","7",NA,"WC"
"62","248","Pink","S South Misc.","Inside WA","Inside WA","WA","447.16","-122.91","7",NA,"WC"
