"","stock","species","broodyear","spawners","recruits","r0.1","r0.2","r0.3","r0.4","r0.5","r1.1","r1.2","r1.3","r1.4","r1.5","r2","r2.1","r2.2","r2.3","r2.4","r2.5","r3","r3.1","r3.2","r3.3","r3.4","r4","r4.1","r4.2","r4.3","r4.4","r5","r5.1","r5.2","r5.3","r6","r6.2","r6.3","r6.4","r7","r7.2","r8","stock.id"
"19","Atnarko-Sockeye","Sockeye",2005,6000,3835,17,104,67,0,0,15,2626,891,0,NA,NA,22,94,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"20","Atnarko-Sockeye","Sockeye",2006,6000,2126,0,245,141,0,0,22,1266,423,0,NA,NA,0,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"21","Atnarko-Sockeye","Sockeye",2007,1200,1926,0,94,651,0,0,0,586,488,27,NA,NA,0,59,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"22","Atnarko-Sockeye","Sockeye",2008,900,4142,0,130,15,7,0,33,3152,784,0,NA,NA,15,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"23","Atnarko-Sockeye","Sockeye",2009,3500,1400,0,104,409,11,0,30,675,171,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"24","Atnarko-Sockeye","Sockeye",2010,2300,2858,0,82,126,0,0,61,1874,716,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"25","Atnarko-Sockeye","Sockeye",2011,1500,13609,0,628,1431,0,0,149,9543,1758,0,NA,NA,0,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"26","Black Lake-Sockeye","Sockeye",1965,307192,1948139,0,0,0,0,0,394,102569,1535857,3332,0,NA,420,80850,201220,496,NA,NA,0,271,22730,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"27","Black Lake-Sockeye","Sockeye",1966,383545,1303562,0,0,0,0,0,1631,65254,990567,2192,0,NA,377,15248,225659,0,NA,NA,0,27,2607,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"28","Black Lake-Sockeye","Sockeye",1967,328000,240643,0,0,0,0,0,2727,16157,99356,13957,0,NA,163,6077,100607,0,NA,NA,0,1599,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"29","Black Lake-Sockeye","Sockeye",1968,342343,1210282,0,0,0,0,0,271,12996,1011407,2336,0,NA,0,4704,174674,0,NA,NA,0,2117,1777,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"30","Black Lake-Sockeye","Sockeye",1969,366589,477876,0,0,0,0,0,0,13271,301917,1403,0,NA,159,68348,89900,0,NA,NA,0,519,2359,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"31","Black Lake-Sockeye","Sockeye",1970,536257,446677,0,0,0,0,0,0,18671,208452,4834,0,NA,282,8724,201464,0,NA,NA,0,650,3600,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"32","Black Lake-Sockeye","Sockeye",1971,671668,1382628,0,0,0,0,0,614,23659,838897,3770,0,NA,0,70718,442121,108,NA,NA,0,374,2367,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"33","Black Lake-Sockeye","Sockeye",1972,326320,912946,0,0,0,0,0,0,33146,412670,4280,0,NA,0,16041,443366,1140,NA,NA,0,441,1862,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"34","Black Lake-Sockeye","Sockeye",1973,538462.0188,1243249,0,0,0,0,0,0,19111,761907,0,0,NA,0,95637,362660,492,NA,NA,0,1155,2287,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"35","Black Lake-Sockeye","Sockeye",1974,364602.9223,630062,0,0,0,0,0,49,51566,198938,0,0,NA,167,87360,290322,6,NA,NA,0,847,807,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"36","Black Lake-Sockeye","Sockeye",1975,326563,361222,0,0,0,0,0,0,22504,37916,1163,0,NA,1458,87311,209658,405,NA,NA,0,772,35,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"37","Black Lake-Sockeye","Sockeye",1976,553754,1242182,0,0,0,0,0,720,23692,1057596,835,0,NA,376,20277,138229,0,NA,NA,0,0,457,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"38","Black Lake-Sockeye","Sockeye",1977,364557.2167,2181469,0,0,0,0,0,92,79836,1727820,7231,0,NA,6,13001,349895,2670,NA,NA,0,0,918,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"39","Black Lake-Sockeye","Sockeye",1978,419731.6671,1087180,0,0,0,0,0,408,56426,498425,6580,0,NA,3133,57526,464128,0,NA,NA,0,0,554,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"40","Black Lake-Sockeye","Sockeye",1979,491467.4483,3347748,0,0,0,0,0,1270,439889,2784427,1335,0,NA,772,57539,61781,325,NA,NA,0,0,410,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"41","Black Lake-Sockeye","Sockeye",1980,369580.3608,1726619,0,0,108325,0,0,289,86358,655708,1024,0,NA,1777,144088,726425,697,NA,NA,0,1629,299,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"42","Black Lake-Sockeye","Sockeye",1981,570209.7109,1910700,0,0,3094,0,0,716,161169,934785,3891,0,NA,1444,73945,729684,1202,NA,NA,0,557,213,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"43","Black Lake-Sockeye","Sockeye",1982,616117,2250486,0,1212,2765,0,0,444,178830,1577372,1939,0,NA,1921,120249,365273,481,NA,NA,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"44","Black Lake-Sockeye","Sockeye",1983,426177.6558,592496,0,0,20583,213,0,0,75756,230229,339,0,NA,2650,42568,217406,2178,NA,NA,0,0,574,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"45","Black Lake-Sockeye","Sockeye",1984,597712.782,714559,0,296,1198,0,0,4015,46004,314541,2212,0,NA,2436,42208,298043,745,NA,NA,0,707,2154,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"46","Black Lake-Sockeye","Sockeye",1985,376578,796950,700,213,433,794,0,523,40205,336100,21636,0,NA,658,54805,329168,1057,NA,NA,0,1404,9254,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"47","Black Lake-Sockeye","Sockeye",1986,557771.8391,2413019,425,420,5180,15,0,1537,311827,1783119,2652,0,NA,0,60948,227622,5672,NA,NA,15,12166,1421,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"48","Black Lake-Sockeye","Sockeye",1987,589299.016,1462800,0,1197,1027,779,0,2119,173142,692978,9284,0,NA,991,77196,460925,5859,NA,NA,60,3333,33825,85,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"49","Black Lake-Sockeye","Sockeye",1988,420579.8777,1642102,0,0,507,0,0,1876,73541,494877,5587,0,NA,1704,110141,950451,827,NA,NA,210,1946,435,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"50","Black Lake-Sockeye","Sockeye",1989,384000.6569,1682130,0,60,5718,979,0,6877,195390,1038205,3407,0,NA,2467,138038,269649,2078,NA,NA,0,1041,18159,45,NA,NA,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"51","Black Lake-Sockeye","Sockeye",1990,434550.1559,1485840,0,1223,38096,480,0,480,143872,457813,6313,0,NA,5554,186918,633234,3064,NA,NA,0,17,8749,27,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"52","Black Lake-Sockeye","Sockeye",1991,662659.9907,1571071,0,1719,2037,1139,0,508,108026,1279480,1109,0,NA,300,40629,131138,641,NA,NA,0,678,3667,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"53","Black Lake-Sockeye","Sockeye",1992,360680.7056,959175,0,1625,125080,313,0,640,53480,363022,1552,0,NA,2489,71272,324846,0,NA,NA,20,9958,4878,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"54","Black Lake-Sockeye","Sockeye",1993,364261.197,941757,0,3665,7694,198,0,127,42117,225957,983,0,NA,1431,139814,516162,1172,NA,NA,0,2001,436,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"55","Black Lake-Sockeye","Sockeye",1994,769464.8943,2041288,0,165,0,0,0,860,103599,1183383,11226,0,NA,1430,222344,517513,617,NA,NA,0,56,95,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"56","Black Lake-Sockeye","Sockeye",1995,366496,2061129,0,1663,28367,0,0,1496,511526,1399908,7135,0,NA,0,20350,85674,2234,NA,NA,0,0,2776,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"57","Black Lake-Sockeye","Sockeye",1996,464747.6207,1646122,0,9594,91050,761,0,524,69098,1111890,12284,0,NA,0,11045,335616,801,NA,NA,0,1060,2399,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"58","Black Lake-Sockeye","Sockeye",1997,396667.9395,781887,0,953,7924,110,0,0,49608,459184,2955,0,NA,676,51638,208648,0,NA,NA,0,191,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"59","Black Lake-Sockeye","Sockeye",1998,410659.1088,886267,0,163,3038,0,0,682,188296,532566,1015,0,NA,4,38305,111141,3659,NA,NA,0,0,7398,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"60","Black Lake-Sockeye","Sockeye",1999,457423.6073,995314,0,1660,15979,0,0,80,98359,630749,734,0,NA,910,70220,176623,0,NA,NA,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"61","Black Lake-Sockeye","Sockeye",2000,536139,1581985,0,1030,10185,0,0,244,257222,1101146,8102,0,NA,297,49689,150557,3513,NA,NA,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"62","Black Lake-Sockeye","Sockeye",2001,744015,875274,0,5364,59606,0,0,0,77174,523867,10669,0,NA,0,31580,164276,2738,NA,NA,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"63","Black Lake-Sockeye","Sockeye",2002,384088,380223,0,0,6231,1717,0,0,55979,248106,4421,0,NA,0,1416,62353,0,NA,NA,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"64","Black Lake-Sockeye","Sockeye",2003,350004,691348,0,4532,58353,0,0,0,90847,416783,235,0,NA,0,17262,103322,0,NA,NA,0,0,14,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"65","Black Lake-Sockeye","Sockeye",2004,363800,919790,0,13304,51252,1720,0,0,45346,604316,3104,0,NA,0,47109,150794,2845,NA,NA,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"66","Black Lake-Sockeye","Sockeye",2005,355091,1505933,0,0,17163,0,0,171,94309,834023,0,0,NA,0,11240,525008,0,NA,NA,0,6180,17839,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"67","Black Lake-Sockeye","Sockeye",2006,366497,3239001,0,1250,14447,0,0,0,184384,2308564,51774,0,NA,361,127622,539542,3659,NA,NA,0,0,7398,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"68","Black Lake-Sockeye","Sockeye",2007,361091,870603,0,2669,25089,1729,0,0,37792,399491,1498,0,NA,2691,34547,363828,1017,NA,NA,0,0,252,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"69","Black Lake-Sockeye","Sockeye",2008,377579,2547085,0,0,15023,0,0,0,511577,1936704,5805,0,NA,0,0,75848,0,NA,NA,0,0,2128,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"70","Black Lake-Sockeye","Sockeye",2009,391476,404861,0,0,4803,339,0,0,48524,101131,0,0,NA,0,43042,201244,0,NA,NA,0,1717,4061,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"71","Black Lake-Sockeye","Sockeye",2010,432535,1222204,0,0,0,0,0,0,178577,594126,1053,NA,NA,641,101423,345331,NA,NA,NA,0,1053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"72","Coghill-Sockeye","Sockeye",1962,26866,54520,0,NA,NA,0,0,0,17815,34021,NA,0,NA,NA,2195,489,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"73","Coghill-Sockeye","Sockeye",1963,63984,63949,0,NA,NA,0,0,159,4391,53756,NA,0,NA,NA,318,5325,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"74","Coghill-Sockeye","Sockeye",1964,22200,163130,0,NA,NA,0,0,0,32538,124343,NA,0,NA,NA,4154,2095,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"75","Coghill-Sockeye","Sockeye",1965,62500,77666,0,NA,NA,0,0,224,25199,48915,NA,0,NA,NA,1634,1694,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"76","Coghill-Sockeye","Sockeye",1966,82500,86158,0,NA,NA,0,0,267,9913,54766,NA,0,NA,NA,303,20909,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"77","Coghill-Sockeye","Sockeye",1967,33000,153330,0,NA,NA,0,0,0,3751,140137,NA,0,NA,NA,1396,8046,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"78","Coghill-Sockeye","Sockeye",1968,11800,137506,0,NA,NA,0,0,0,22525,108119,NA,0,NA,NA,3219,3643,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"79","Coghill-Sockeye","Sockeye",1969,81000,91748,0,NA,NA,0,0,0,12896,60811,NA,0,NA,NA,7908,10133,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"80","Coghill-Sockeye","Sockeye",1970,35200,220866,0,NA,NA,0,0,0,49280,158164,NA,0,NA,NA,8803,4619,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"81","Coghill-Sockeye","Sockeye",1971,15000,46728,0,NA,NA,0,0,115,5604,32566,NA,0,NA,NA,2782,5661,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"82","Coghill-Sockeye","Sockeye",1972,51000,218568,0,NA,NA,0,0,0,29452,164079,NA,0,NA,NA,6691,18346,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"83","Coghill-Sockeye","Sockeye",1973,55000,233688,0,NA,NA,0,0,0,25454,203097,NA,0,NA,NA,3332,1805,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"84","Coghill-Sockeye","Sockeye",1974,22334,110824,0,NA,NA,0,0,455,21031,76250,NA,0,NA,NA,10499,2589,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"85","Coghill-Sockeye","Sockeye",1975,34855,191527,0,NA,NA,0,0,0,38347,136669,NA,0,NA,NA,7713,8798,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"86","Coghill-Sockeye","Sockeye",1976,9056,173529,0,NA,NA,0,0,90,52433,99913,NA,0,NA,NA,12716,8377,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"87","Coghill-Sockeye","Sockeye",1977,31562,1251046,0,NA,NA,0,0,1980,137082,1108256,NA,0,NA,NA,1772,1956,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"88","Coghill-Sockeye","Sockeye",1978,42284,70302,0,NA,NA,0,0,655,8798,51329,NA,0,NA,NA,2139,7381,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"89","Coghill-Sockeye","Sockeye",1979,48281,150406,0,NA,NA,0,0,270,17439,105297,NA,0,NA,NA,6351,21049,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"90","Coghill-Sockeye","Sockeye",1980,142253,473655,0,NA,NA,0,0,162,37780,344020,NA,0,NA,NA,51571,40122,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"91","Coghill-Sockeye","Sockeye",1981,156112,496237,0,NA,NA,0,0,436,92478,355917,NA,0,NA,NA,14589,32817,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"92","Coghill-Sockeye","Sockeye",1982,180314,612158,0,NA,NA,0,0,154,58604,546985,NA,0,NA,NA,5829,586,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"93","Coghill-Sockeye","Sockeye",1983,38783,106297,0,NA,NA,0,0,71,11755,86810,NA,0,NA,NA,448,7213,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"94","Coghill-Sockeye","Sockeye",1984,63622,203086,0,NA,NA,0,0,1347,64775,133744,NA,0,NA,NA,2112,1108,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"95","Coghill-Sockeye","Sockeye",1985,163342,16596,0,NA,NA,0,0,31,1682,12950,NA,0,NA,NA,1169,764,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"96","Coghill-Sockeye","Sockeye",1986,74135,26916,0,NA,NA,0,0,34,4371,17266,NA,0,NA,NA,82,5163,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"97","Coghill-Sockeye","Sockeye",1987,187263,60051,0,NA,NA,0,0,20,2168,53696,NA,0,NA,NA,1418,2749,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"98","Coghill-Sockeye","Sockeye",1988,72023,50494,0,NA,NA,0,0,20,6913,41717,NA,0,NA,NA,1246,598,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"99","Coghill-Sockeye","Sockeye",1989,36881,9410,0,NA,NA,0,0,11,2596,4662,NA,0,NA,NA,406,1735,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"100","Coghill-Sockeye","Sockeye",1990,8250,26127,0,NA,NA,0,0,49,3519,19808,NA,0,NA,NA,1018,1733,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"101","Coghill-Sockeye","Sockeye",1991,9701,153809,0,NA,NA,0,0,106,38575,113543,NA,0,NA,NA,942,643,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"102","Coghill-Sockeye","Sockeye",1992,29642,114126,0,NA,NA,0,0,160,14841,97316,NA,0,NA,NA,321,1488,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
