"","stock","species","broodyear","spawners","recruits","r0.1","r0.2","r0.3","r0.4","r0.5","r1.1","r1.2","r1.3","r1.4","r1.5","r2","r2.1","r2.2","r2.3","r2.4","r2.5","r3","r3.1","r3.2","r3.3","r3.4","r4","r4.1","r4.2","r4.3","r4.4","r5","r6","r7","r8","stock.id","logRS"
"40","Karluk-Chinook","Chinook",1982,6693,9612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,NA,NA,NA,NA,837,NA,NA,NA,NA,2782,5037,621,NA,213,0.361950113755717
"41","Karluk-Chinook","Chinook",1983,11442,12118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384,NA,NA,NA,NA,1471,NA,NA,NA,NA,4578,4662,1023,NA,213,0.0574011546764603
"42","Karluk-Chinook","Chinook",1984,7572,14756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,646,NA,NA,NA,NA,2270,NA,NA,NA,NA,3590,7025,1225,NA,213,0.667192546387353
"43","Karluk-Chinook","Chinook",1985,4890,12722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,732,NA,NA,NA,NA,1278,NA,NA,NA,NA,4046,5966,700,NA,213,0.956140474769832
"44","Karluk-Chinook","Chinook",1986,4307,8984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415,NA,NA,NA,NA,1353,NA,NA,NA,NA,3419,3673,124,NA,213,0.735203611364169
"45","Karluk-Chinook","Chinook",1987,7731,18306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,945,NA,NA,NA,NA,2364,NA,NA,NA,NA,3622,10288,1087,NA,213,0.86199065462425
"46","Karluk-Chinook","Chinook",1988,12518,19443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,977,NA,NA,NA,NA,1519,NA,NA,NA,NA,5205,10254,1488,NA,213,0.440319499611179
"47","Karluk-Chinook","Chinook",1989,9925,14799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481,NA,NA,NA,NA,1376,NA,NA,NA,NA,3487,8521,934,NA,213,0.399502784346457
"48","Karluk-Chinook","Chinook",1990,13742,10577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,NA,NA,NA,NA,1643,NA,NA,NA,NA,2147,5811,879,NA,213,-0.261775004262968
"49","Karluk-Chinook","Chinook",1991,12423,12433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,661,NA,NA,NA,NA,1847,NA,NA,NA,NA,2899,6865,161,NA,213,0.000804634739260686
"50","Karluk-Chinook","Chinook",1992,8745,16374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,454,NA,NA,NA,NA,1915,NA,NA,NA,NA,5248,7907,850,NA,213,0.627212602483691
"51","Karluk-Chinook","Chinook",1993,12310,9169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,NA,NA,NA,NA,1259,NA,NA,NA,NA,1686,5898,150,NA,213,-0.294583711128598
"52","Karluk-Chinook","Chinook",1994,10566,15352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,589,NA,NA,NA,NA,1437,NA,NA,NA,NA,5846,6777,703,NA,213,0.373604459963275
"53","Karluk-Chinook","Chinook",1995,11373,9934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,NA,NA,NA,NA,1270,NA,NA,NA,NA,3531,4554,376,NA,213,-0.135278908517149
"54","Karluk-Chinook","Chinook",1996,8356,5584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,NA,NA,NA,NA,472,NA,NA,NA,NA,1543,3248,155,NA,213,-0.403074478234248
"55","Karluk-Chinook","Chinook",1997,11869,5827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,NA,NA,NA,NA,173,NA,NA,NA,NA,2848,2012,549,NA,213,-0.711427670913431
"56","Karluk-Chinook","Chinook",1998,9066,13249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,NA,NA,NA,NA,2242,NA,NA,NA,NA,5013,5603,240,NA,213,0.379390925367329
"57","Karluk-Chinook","Chinook",1999,11297,8806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289,NA,NA,NA,NA,1583,NA,NA,NA,NA,3422,2377,1135,NA,213,-0.24910389641123
"58","Karluk-Chinook","Chinook",2000,7879,6095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,459,NA,NA,NA,NA,2111,2905,499,NA,213,-0.256732229330316
"59","Karluk-Chinook","Chinook",2001,3149,2850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,NA,NA,NA,NA,521,NA,NA,NA,NA,912,1179,105,NA,213,-0.0997659478383285
"60","Karluk-Chinook","Chinook",2002,6574,1396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,NA,NA,NA,NA,225,NA,NA,NA,NA,368,533,108,NA,213,-1.54951147090185
"61","Karluk-Chinook","Chinook",2003,6965,1099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,107,NA,NA,NA,NA,160,410,334,NA,213,-1.84649693181028
"62","Karluk-Chinook","Chinook",2004,6805,2327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,52,NA,NA,NA,NA,497,1332,376,NA,213,-1.07307775178327
"63","Karluk-Chinook","Chinook",2005,4611,2542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,256,NA,NA,NA,NA,862,1249,155,NA,213,-0.595493580457306
