"","stock","broodyear","run","spawners","recruits","r3","r4","r5","r6","r7"
"91","Babine-Fulton",1976,849179,288071,360205.465921119,43221.43562269,89458.925002193,227525.105296236,0,0
"92","Babine-Fulton",1977,1497456,502031,3529529.08651132,72497.275414301,1757946.71118728,1699085.09990974,0,0
"93","Babine-Fulton",1978,715900,143303,1041999.78587277,85830.183516486,347636.226311843,608533.37604444,0,0
"94","Babine-Fulton",1979,1386163,416887,733507.883557059,33867.673778414,358349.1161558,341291.093622845,0,0
"95","Babine-Fulton",1980,501497,121208,2105223.17096986,173487.50779976,630324.11871218,1301411.54445792,0,0
"96","Babine-Fulton",1981,2071302,441066,1134270.81248994,53119.787664975,677003.872155304,404147.152669662,0,0
"97","Babine-Fulton",1982,2080589,319421,516405.528156939,25100.583386772,221640.846071064,269664.098699103,0,0
"98","Babine-Fulton",1983,1140370,314944,808451.916565496,30930.001259274,208053.665348643,569468.249957579,0,0
"99","Babine-Fulton",1984,1024735,266911,2537987.12123269,131311.235952254,1396265.94159542,1010409.94368501,0,0
"100","Babine-Fulton",1985,2003516,301691,1513703.79983434,39754.808447,543276.18901611,930672.802371228,0,0
"101","Babine-Fulton",1986,656718,165482,952274.578140337,75523.86729888,468618.769832213,408131.941009244,0,0
"102","Babine-Fulton",1987,609029,150463,712171.026170825,49539.427796559,149615.739091202,513015.859283064,0,0
"103","Babine-Fulton",1988,2005489,322950,1354567.70134711,67235.319899554,437117.527552956,850214.8538946,0,0
"104","Babine-Fulton",1989,1629210,328463,1645390.33909774,69902.61316398,470045.19546774,1105442.53046602,0,0
"105","Babine-Fulton",1990,1448831,331533,1772864.61116432,27399.95063766,387100.807640463,1358363.85288619,0,0
"106","Babine-Fulton",1991,624983,104023,3524946.23397277,189815.661893515,1470477.53103956,1864653.0410397,0,0
"107","Babine-Fulton",1992,1020036,318210,4378171.72882734,297555.61607425,2521776.40138934,1558839.71136375,0,0
"108","Babine-Fulton",1993,1347660,260339,926897.362147774,27252.557570966,492055.936233008,407588.8683438,0,0
"109","Babine-Fulton",1994,1682359,428141,58049.682327555,3830.352403242,28674.244553625,25545.085370688,0,0
"110","Babine-Fulton",1995,3126397,393980,604568.642175603,22811.887102575,211513.3055805,370243.449492528,0,0
"111","Babine-Fulton",1996,4413682,372337,5284827.43839286,48073.609048812,3059727.46169756,2177026.36764649,0,0
"112","Babine-Fulton",1997,2054726,320216,509719.531146122,12766.088809914,185124.506650408,311828.9356858,0,0
"113","Babine-Fulton",1998,459075,157127,1164452.62084998,42177.125703104,340905.070070084,781370.425076796,0,0
"114","Babine-Fulton",1999,285132,203004,433839.476541923,9277.994244116,254579.081023383,169982.401274424,0,0
"115","Babine-Fulton",2000,3442737,586508,847122.473584081,68149.493899821,582796.80295479,196176.17672947,0,0
"116","Babine-Fulton",2001,2404328,400411,741491.657536568,8962.795770786,248336.501411222,484192.36035456,0,0
"117","Babine-Fulton",2002,662012,290370,2657709.04481552,64706.321859308,1394473.99554341,1198528.7274128,0,0
"118","Babine-Fulton",2003,1104099,460680,380468.582836507,19437.644102032,78475.095356128,282555.843378347,0,0
"119","Babine-Fulton",2004,761742,445304,1425073.60048374,29332.177231072,1051254.02765795,344487.395594708,0,0
"120","Babine-Fulton",2005,509219,327460,307411.841770346,13129.128963698,102201.52144253,192081.191364118,0,0
"121","Babine-Fulton",2006,1898104,461925,866996.594169257,12334.082962762,264111.6385117,590550.872694795,0,0
"122","Babine-Fulton",2007,1306336,458006,1520841.03139682,58524.170124182,517304.25217049,945012.609102144,0,0
"123","Babine-Fulton",2008,1346939,357801,268262.395650091,19059.875134715,170785.41155304,78417.108962336,0,0
"124","Babine-Fulton",2009,459023,317178,464746.871495124,2709.979344816,76712.389272744,385324.502877564,0,0
"125","Babine-Fulton",2010,514717,321952,3120572.50572039,114962.502035012,2132128.91786388,873481.085821494,0,0
"126","Babine-Fulton",2011,1126915,347869,1680551.15882973,129854.579258556,782170.43856129,768526.141009886,0,0
"127","Babine-Fulton",2012,1118508,337324,764717.616300869,17529.475617216,197848.256142233,549339.88454142,0,0
"128","Babine-Fulton",2013,270092,220714,210624.705720298,3182.602847881,21519.299163124,57767.595010272,0,128155.208699021
"129","Babine-Fulton",2014,2647308,425300,1553294.03360371,27906.816295456,1097466.17842159,281911.20296166,128155.208699021,17854.627225981
"130","Babine-Fulton",2015,1673181,435159,496095.523180808,8439.226568136,63430.02047997,342568.731715021,17854.627225981,63802.9171917
"131","Babine-Fulton",2016,969557,464118,NA,27465.77655837,276026.603700218,539209.740101186,63802.9171917,NA
"132","Babine-Fulton",2017,598766,372530,NA,8290.45588574,492787.709785511,1380463.09339788,NA,NA
"133","Babine-Fulton",2018,1163673,392929,NA,126265.998385877,2146098.08501784,NA,NA,NA
"134","Babine-Fulton",2019,372807,271174,NA,79745.90439258,NA,NA,NA,NA
"135","Babine-Fulton",2020,755041,248570,NA,NA,NA,NA,NA,NA
"136","Babine-Fulton",2021,1179689,380030,NA,NA,NA,NA,NA,NA
"137","Babine-Fulton",2022,3670110,383402,NA,NA,NA,NA,NA,NA
"138","Babine-Late-Wild",1955,NA,NA,NA,NA,NA,73890.666,0,0
"139","Babine-Late-Wild",1956,NA,NA,NA,NA,180621.628,195859.376,0,0
"140","Babine-Late-Wild",1957,NA,NA,1390240.714,28593.706,868923.088,492723.92,0,0
"141","Babine-Late-Wild",1958,NA,NA,473769.07,17313.536,402967.76,53487.774,0,0
"142","Babine-Late-Wild",1959,NA,NA,923428.573,40203.28,197060.22,686165.073,0,0
"143","Babine-Late-Wild",1960,283106,112920,524066.837,62246.006,268110.81,193710.021,0,0
"144","Babine-Late-Wild",1961,1082096,467457,767581.785,38727.117,401484.796,327369.872,0,0
"145","Babine-Late-Wild",1962,934960,354597,1052781.917,44112.183,367252.496,641417.238,0,0
"146","Babine-Late-Wild",1963,312794,193636,1510843.408,136265.632,663993,710584.776,0,0
"147","Babine-Late-Wild",1964,993003,396889,417757.542,22575.762,111162.48,284019.3,0,0
"148","Babine-Late-Wild",1965,639307,313242,671734.3577256,33348.744,414922.05,223463.5637256,0,0
"149","Babine-Late-Wild",1966,830888,243131,996075.93621068,95202,455518.19188824,445355.74432244,0,0
"150","Babine-Late-Wild",1967,1327986,296655,1287701.17137581,81578.24438616,662991.774123616,543131.152866036,0,0
"151","Babine-Late-Wild",1968,855096,267415,566784.351539686,31926.481553944,185243.749548084,349614.120437658,0,0
"152","Babine-Late-Wild",1969,793350,345342,1232899.16015317,113269.09758588,381223.2668557,738406.795711588,0,0
"153","Babine-Late-Wild",1970,760560,327830,496416.203065047,68784.612706642,377148.745881797,50482.844476608,0,0
"154","Babine-Late-Wild",1971,1140274,436876,517898.248355103,116317.458406615,156224.162874672,245356.627073816,0,0
"155","Babine-Late-Wild",1972,841644,309504,464331.092747217,19036.99264872,145459.513757984,299834.586340513,0,0
"156","Babine-Late-Wild",1973,799622,236140,438499.705612855,68211.8591682,262232.537866918,108055.308577737,0,0
"157","Babine-Late-Wild",1974,1231873,291444,149086.463507978,11069.875792569,32962.469074617,105054.118640792,0,0
"158","Babine-Late-Wild",1975,225744,118485,1276425.32368239,37073.222347646,837422.083869538,401930.01746521,0,0
"159","Babine-Late-Wild",1976,459028,163137,171432.680539061,30332.79748967,105896.632548005,35203.250501386,0,0
"160","Babine-Late-Wild",1977,573137,199711,764584.640338947,85818.349986785,271993.889911353,406772.400440809,0,0
"161","Babine-Late-Wild",1978,178091,57402,238360.64469033,13279.859587261,83226.450673109,141854.33442996,0,0
"162","Babine-Late-Wild",1979,972809,357449,266419.628776153,8108.148886082,83534.2437522,174777.236137871,0,0
"163","Babine-Late-Wild",1980,593645,197031,1342215.91630571,40441.42181784,322792.798868924,978981.695618943,0,0
"164","Babine-Late-Wild",1981,320477,113332,812387.482768152,27202.964993205,509273.489639478,275911.028135469,0,0
"165","Babine-Late-Wild",1982,498107,159595,374095.635905361,18881.814741579,151314.077836068,203899.743327714,0,0
"166","Babine-Late-Wild",1983,265830,103027,369108.948897307,21115.894028463,157314.559734234,190678.49513461,0,0
"167","Babine-Late-Wild",1984,524773,204447,774292.270468935,99287.696938052,467520.16213539,207484.411395493,0,0
"168","Babine-Late-Wild",1985,1507137,623637,521973.254814631,13311.34273,111560.006913723,397101.905170908,0,0
"169","Babine-Late-Wild",1986,448341,167437,1147831.17260543,15508.581690784,199951.482223493,932371.108691152,0,0
"170","Babine-Late-Wild",1987,460502,237400,1414301.23339612,21137.612605599,341794.842592216,1051368.7781983,0,0
"171","Babine-Late-Wild",1988,671510,241974,2134039.57667906,153598.048716632,895823.61355195,1084617.91441048,0,0
"172","Babine-Late-Wild",1989,334553,132563,1016464.45472321,143257.60824975,599636.006418312,273570.840055152,0,0
"173","Babine-Late-Wild",1990,618191,198864,230693.258789462,34954.079171208,95798.280067608,99940.899550646,0,0
"174","Babine-Late-Wild",1991,1427764,432582,357915.963886546,46974.87987724,108189.603918604,202751.480090702,0,0
"175","Babine-Late-Wild",1992,2090450,582914,654966.485279214,21892.49653075,274203.235983464,358870.752765,0,0
"176","Babine-Late-Wild",1993,1719208,595377,312853.131754874,2963.283925834,113279.436590656,196610.411238384,0,0
"177","Babine-Late-Wild",1994,416344,132299,35174.361506122,881.810644344,13831.71978309,20460.831078688,0,0
"178","Babine-Late-Wild",1995,230023,69506,230946.315959264,11003.868978526,169415.68029925,50526.766681488,0,0
"179","Babine-Late-Wild",1996,479918,143305,1923429.05308709,38505.488622062,417558.057483618,1467365.50698141,0,0
"180","Babine-Late-Wild",1997,473032,129975,257036.265856136,1742.175834894,124778.146738492,130515.94328275,0,0
"181","Babine-Late-Wild",1998,221446,97880,289938.279135499,28428.346280096,142685.753944595,118824.178910808,0,0
"182","Babine-Late-Wild",1999,228382,155040,149033.402056001,3883.302772655,38714.224776934,106435.874506412,0,0
"183","Babine-Late-Wild",2000,469827,185020,474662.377315913,10363.596312258,364922.997421895,99375.78358176,0,0
