Stock,Brood Year,Spawners,0.2,1.1,0.3,1.2,2.1,0.4,1.3,2.2,3.1,1.4,2.3,3.2,2.4,3.3,Run,Return,Yield,R/S
Kasilof,2005,"360,065",0,"5,826",0,"129,084","24,238",0,"246,172","246,172",0,0,"206,207",0,0,0,"798,322","857,699","497,634",2.4
Kasilof,2006,"389,645",0,"8,116",0,"218,041","11,584",0,"245,564","204,610",0,0,"41,169",0,0,0,"628,535","729,084","339,439",1.9
Kasilof,2007,"365,184","1,655","8,274",0,"108,891","21,475",0,"66,436","236,518",0,0,"60,962",NA,NA,NA,"935,360","504,211","139,027",1.4
Kasilof,2008,"327,018",0,"11,576",0,"213,953","27,907",0,"242,772","288,531",0,0,"38,056",NA,NA,NA,"1,104,536","822,795","495,777",2.5
Kasilof,2009,"326,283",0,"42,552",0,"313,226","10,532",0,"378,971","231,195",0,0,"95,595",NA,NA,NA,"1,167,513","1,072,070","745,787",3.3
Kasilof,2010,"295,265","1,725","17,613",0,"419,210","21,090",0,"480,721","353,959",0,836,"45,131",NA,NA,NA,"560,416","1,340,285","1,045,020",4.5
Kasilof,2011,"245,721","3,411","12,603",0,"196,670","21,194",0,"141,359","203,406",0,743,"106,044",NA,NA,NA,"815,928","685,430","439,709",2.8
Kasilof,2012,"374,523","4,641","14,733",0,"156,914","7,169",0,"173,630","208,207",0,NA,"6,164",NA,0,0,"696,722","571,458","196,935",1.5
Kasilof,2013,"489,654",0,"5,601",0,"294,845","20,095",NA,"77,740","247,574",NA,0,"3,536",0,0,0,"669,125","649,391","159,737",1.3
Kasilof,2014,"440,192",0,"12,365",NA,"354,699",6778,0,"246,581","85,044",0,0,"5,576",0,0,0,"820,652","711,043","270,851",1.6
Kasilof,2015,"470,677",79,"3,688",0,"320,786","5,242",0,"227,581","89,165",0,0,"22,871",0,0,0,"861,371","669,412","198,735",1.4
Kasilof,2016,"239,981",0,"7,936",700,"492,656",0,0,"231,368","43,477",0,384,"7,264",0,NA,NA,"1,486,959","783,784","543,803",3.3
Kasilof,2017,"358,724","1,409","3,566",793,"548,270","8,039",0,"258,740","252,505",0,NA,"26,041",NA,NA,NA,NA,NA,NA,NA
Kasilof,2018,"388,009",12,"6,542","1,981","957,057","3,471",NA,"562,376","177,223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kasilof,2019,"373,416","3,849","1,708",868,"317,132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kasilof,2020,"541,651",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kasilof,2021,"516,859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
