Stock,Brood Year,Escapement,0.1,0.2,1.1,0.3,1.2,2.1,0.4,1.3,2.2,3.1,1.4,2.3,3.2,3.3,2.4,3.4,4.1,4.2,4.3,4.4,2.5,1.5,,,
Upper Station Late sockeye,2013,"125,573",579,"7,762","3,278","13,053","65,307","14,126",0,"9,025","178,257",0,0,"3,425",0,0,0,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Late sockeye,2014,"181,411",593,"10,526","2,734","4,676","147,013","2,289",0,"9,829","113,308",0,0,"11,476",0,0,0,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Late sockeye,2015,"132,864","3,745","29,948","3,107","11,163","32,156","6,652",0,"20,192","89,334",0,0,"3,834",0,0,0,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Late sockeye,2016,"145,013",0,"3,090","8,891","1,043","167,293","11,223",0,"47,475","213,590",0,0,"5,854",0,,,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Late sockeye,2017,"208,425","1,809","21,834","9,241","29,444","274,334","28,778",0,"51,557","141,713",0,,,,,,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Late sockeye,2018,"235,669",440,"26,360","5,763","7,336","53,153","1,946",,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Late sockeye,2019,"165,146",0,834,"2,084",,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Late sockeye,2020,"195,147",0,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Late sockeye,2021,"355,507",,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Late sockeye,2022,"168,880",,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,1969,"22,509 ",0 ,317 ,0 ,"1,406 ","3,094 ",281 ,263 ,"9,979 ","11,554 ",0 ,62 ,"3,516 ",62 ,0 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,1970,"16,168 ",0 ,375 ,188 ,788 ,"2,889 ",263 ,0 ,"1,850 ","3,269 ",0 ,0 ,"1,469 ",367 ,0 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,1971,"32,529 ",0 ,0 ,0 ,185 ,"1,234 ",370 ,0 ,"5,876 ","15,976 ",0 ,0 ,"2,263 ",0 ,0 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,1972,"39,613 ",0 ,185 ,62 ,"1,102 ","5,693 ",184 ,0 ,"3,482 ","18,977 ",0 ,0 ,"8,603 ",574 ,208 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,1973,"26,892 ",0 ,0 ,0 ,174 ,522 ,696 ,0 ,"3,728 ","41,006 ",0 ,208 ,"7,289 ",0 ,0 ,133 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,1974,"35,319 ",0 ,0 ,522 ,0 ,"26,382 ",0 ,0 ,"16,660 ","38,317 ",0 ,0 ,"11,720 ",133 ,0 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,1975,"10,325 ",0 ,0 ,0 ,0 ,"1,458 ",208 ,0 ,"6,393 ","14,783 ",0 ,0 ,"8,738 ",485 ,0 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
