production_stock_name,production_stock_code,broodyr,total_broodyr_spawners,total_broodyr_EFS,total_broodyr_age1_smolt,total_broodyr_age2_smolt,total_broodyr_fry_estimate,recruits_age21,recruits_age31,recruits_age32,recruits_age41,recruits_age42,recruits_age43,recruits_age51,recruits_age52,recruits_age53,recruits_age62,recruits_age63,recruits_age64,recruits_age72
Late Stuart,2,1997,907652,415149,NA,NA,NA,0,0,81,0,351715,0,0,79099,0,0,0,0,0
Late Stuart,2,1998,139421,67834,NA,NA,NA,0,0,312,0,264390,0,0,12560,0,0,0,0,0
Late Stuart,2,1999,62120,33800,NA,NA,NA,0,0,23,0,117520,0,0,16079,0,0,0,0,0
Late Stuart,2,2000,454478,226240,NA,NA,NA,0,0,1827,0,868657,0,0,42459,879,0,0,0,0
Late Stuart,2,2001,351881,179534,NA,NA,NA,0,0,29,0,415504,0,0,89810,0,0,0,0,0
Late Stuart,2,2002,34521,17820,NA,NA,NA,0,0,20,0,121483,0,0,4449,0,0,0,0,0
Late Stuart,2,2003,38474,19208,NA,NA,NA,0,0,11,0,15962,0,0,5810,0,0,0,0,0
Late Stuart,2,2004,83447,51310,NA,NA,NA,0,0,220,0,263681,0,0,18277,0,0,0,0,0
Late Stuart,2,2005,293144,164548,NA,NA,NA,0,0,89,0,105786,0,0,22775,0,0,0,0,0
Late Stuart,2,2006,27515,14283,NA,NA,NA,0,0,46,0,156804,0,0,6061,0,0,0,0,0
Late Stuart,2,2007,8707,4144,NA,NA,NA,0,0,68,0,5832,0,0,6458,0,0,0,0,0
Late Stuart,2,2008,146658,57881,NA,NA,NA,0,0,362,0,186684,0,0,8137,0,0,0,0,0
Late Stuart,2,2009,87001,43271,NA,NA,NA,0,0,47,0,218217,0,0,35177,0,0,0,0,0
Late Stuart,2,2010,75289,43476,NA,NA,NA,0,0,1119,0,276384,0,0,34431,0,0,0,0,0
Late Stuart,2,2011,4053,778,NA,NA,NA,0,0,0,0,4528,0,0,322,0,0,0,0,0
Late Stuart,2,2012,93159,31771,NA,NA,NA,0,0,0,0,31733,0,0,4338,0,0,0,0,0
Late Stuart,2,2013,132603,70946,NA,NA,NA,0,0,1625,0,214773,0,0,18068,0,0,0,0,0
Late Stuart,2,2014,50691,27869,NA,NA,NA,0,0,609,0,310878,0,0,9078,0,0,0,0,0
Late Stuart,2,2015,11124,4350,NA,NA,NA,0,0,0,0,4946,0,0,895,0,0,0,0,0
Late Stuart,2,2016,10066,4672,NA,NA,NA,0,0,130,0,11443,0,0,0,0,0,0,0,0
Late Stuart,2,2017,147470,80081,NA,NA,NA,0,0,49,0,467922,0,0,22782,0,0,0,0,0
Late Stuart,2,2018,112189,67449,NA,NA,NA,0,0,213,0,192497,0,0,30910,0,0,0,0,NA
Late Stuart,2,2019,5861,3045,NA,NA,NA,0,0,0,0,12640,0,0,4155,0,NA,NA,NA,NA
Stellako,3,1948,16213,9242,NA,NA,NA,0,0,0,0,185175,0,0,22002,0,0,0,0,0
Stellako,3,1949,104835,40231,NA,NA,NA,0,0,133,0,173402,0,0,6341,0,0,0,0,0
Stellako,3,1950,145108,77410,NA,NA,NA,0,0,4630,0,903768,0,0,30719,0,0,0,0,0
Stellako,3,1951,96208,51413,NA,NA,NA,0,0,26,0,354049,0,0,101292,0,0,0,0,0
Stellako,3,1952,40466,19920,NA,NA,NA,0,0,23,0,93984,0,0,16694,0,0,0,0,0
Stellako,3,1953,43688,20388,NA,NA,NA,0,0,30,0,156192,0,0,18023,0,0,0,0,0
Stellako,3,1954,141882,72273,NA,NA,NA,0,0,3311,0,1140205,0,0,67783,0,0,0,0,0
Stellako,3,1955,51746,29937,NA,NA,NA,0,0,28,0,602677,0,0,27091,0,0,0,0,0
Stellako,3,1956,38459,21686,NA,NA,NA,0,0,92,0,220400,0,0,26243,0,0,0,0,0
Stellako,3,1957,38921,18044,NA,NA,NA,0,0,8,0,143835,0,0,8000,0,0,0,0,0
Stellako,3,1958,112273,61581,NA,NA,NA,0,0,1156,0,323089,0,0,16215,0,0,0,0,0
Stellako,3,1959,79355,41872,NA,NA,NA,0,0,17,0,514918,0,0,26485,0,0,0,0,0
Stellako,3,1960,38884,22718,NA,NA,NA,0,0,19,0,143340,0,0,21155,0,0,0,0,0
Stellako,3,1961,47241,18136,NA,NA,NA,0,0,288,0,137046,0,0,10068,0,0,0,0,0
Stellako,3,1962,124495,44532,NA,NA,NA,0,0,100,0,572029,0,0,17376,0,0,0,0,0
Stellako,3,1963,138805,41535,NA,NA,NA,0,0,977,0,713487,0,0,13462,0,0,0,0,0
Stellako,3,1964,31047,16161,NA,NA,NA,0,0,194,0,170674,0,0,6969,0,0,0,0,0
Stellako,3,1965,39418,20479,NA,NA,NA,0,0,179,0,231100,0,0,12372,0,0,0,0,0
Stellako,3,1966,101684,51509,NA,NA,NA,0,0,833,0,336316,0,0,22757,0,0,0,0,0
Stellako,3,1967,91525,32467,NA,NA,NA,0,0,288,0,531886,0,0,18350,0,0,0,0,0
Stellako,3,1968,30420,13680,NA,NA,NA,0,0,85,0,125900,0,0,3837,0,0,0,0,0
Stellako,3,1969,49341,25629,NA,NA,NA,0,0,131,0,235729,0,0,17385,0,0,0,0,0
Stellako,3,1970,45876,26727,NA,NA,NA,0,0,1170,0,228808,0,0,4130,0,0,0,0,0
Stellako,3,1971,39726,20147,NA,NA,NA,0,0,496,0,508759,12,0,0,0,0,0,0,0
Stellako,3,1972,36771,19938,NA,NA,NA,0,0,204,0,711226,0,0,44784,0,0,0,0,0
Stellako,3,1973,30755,15424,NA,NA,NA,0,0,11,0,75813,0,0,10077,0,0,0,0,0
Stellako,3,1974,41473,23718,NA,NA,NA,0,0,1823,0,281752,13,0,19534,0,0,0,0,0
Stellako,3,1975,176079,68451,NA,NA,NA,0,0,3852,0,1832708,0,0,64645,2919,0,0,0,0
Stellako,3,1976,150741,63865,NA,NA,NA,0,0,150,0,216701,0,0,27506,0,0,0,0,0
Stellako,3,1977,23452,10894,NA,NA,NA,0,0,74,0,209138,0,0,56488,0,0,0,0,0
Stellako,3,1978,60421,32528,NA,NA,NA,0,0,860,0,388505,0,0,48040,0,0,0,0,0
Stellako,3,1979,290116,152583,NA,NA,NA,0,0,31,0,478737,0,0,145156,0,0,0,0,0
Stellako,3,1980,72073,28477,NA,NA,NA,0,0,207,0,535944,0,0,219255,0,0,0,0,0
Stellako,3,1981,22021,12030,NA,NA,NA,0,0,28,0,234136,0,0,51734,0,0,0,0,0
Stellako,3,1982,69434,34888,NA,NA,NA,0,0,1900,0,309369,0,0,46504,0,0,0,0,0
Stellako,3,1983,121739,61357,NA,NA,NA,0,0,1129,0,1097744,0,0,158607,0,0,0,0,0
Stellako,3,1984,60973,32672,NA,NA,NA,0,0,170,0,744589,0,0,266430,0,0,0,0,0
Stellako,3,1985,42296,21969,NA,NA,NA,0,0,87,0,97659,0,0,30996,0,0,0,0,0
Stellako,3,1986,77378,44564,NA,NA,NA,0,0,23,0,445398,0,0,116424,0,0,0,0,0
Stellako,3,1987,211111,98179,NA,NA,NA,0,0,14,0,353471,0,0,82191,0,0,0,0,0
Stellako,3,1988,367751,200537,NA,NA,NA,0,0,158,0,566227,0,0,425114,0,0,0,0,0
Stellako,3,1989,43189,15903,NA,NA,NA,0,0,28,0,127212,0,0,95047,0,0,0,0,0
Stellako,3,1990,93928,56537,NA,NA,NA,0,0,1145,0,861027,0,0,89664,0,0,0,0,0
Stellako,3,1991,94931,54349,NA,NA,NA,0,0,259,0,299039,0,0,37271,0,0,0,0,0
Stellako,3,1992,97985,55138,NA,NA,NA,0,0,275,0,734393,0,0,133793,0,0,0,0,0
Stellako,3,1993,91443,42861,NA,NA,NA,0,0,13,0,68158,0,0,241673,0,0,0,0,0
Stellako,3,1994,136847,63584,NA,NA,NA,0,0,127,0,593409,0,0,88649,704,0,0,0,0
Stellako,3,1995,122780,41135,NA,NA,NA,0,0,75,0,127344,0,0,56540,0,0,0,0,0
Stellako,3,1996,332207,167624,NA,NA,NA,0,0,16,0,635499,0,0,176479,0,0,0,0,0
Stellako,3,1997,55410,23241,NA,NA,NA,0,0,0,0,68515,0,0,56658,0,0,0,0,0
Stellako,3,1998,185697,96961,NA,NA,NA,0,0,73,0,504421,0,0,133503,0,0,0,0,0
Stellako,3,1999,138151,66080,NA,NA,NA,0,0,0,0,143988,0,0,30474,0,0,0,0,0
Stellako,3,2000,371604,195386,NA,NA,NA,0,0,0,0,647582,0,0,70089,0,0,0,0,0
Stellako,3,2001,151482,61590,NA,NA,NA,0,0,0,0,203410,0,0,83718,0,0,0,0,0
Stellako,3,2002,322711,177618,NA,NA,NA,0,0,47,0,224262,0,0,24066,0,0,0,0,0
Stellako,3,2003,78093,43829,NA,NA,NA,0,0,5,0,34522,0,0,14605,0,0,0,0,0
Stellako,3,2004,86738,53755,NA,NA,NA,0,332,153,664,213103,0,0,33547,131,0,0,0,0
Stellako,3,2005,175346,102247,NA,NA,NA,0,0,12,0,6840,0,0,4754,0,0,0,0,0
Stellako,3,2006,147194,79834,NA,NA,NA,0,97,109,0,401587,0,0,87302,0,0,0,0,0
Stellako,3,2007,41481,19626,NA,NA,NA,0,0,22,0,108541,0,0,19902,0,0,0,0,0
Stellako,3,2008,159749,73798,NA,NA,NA,0,0,504,0,265967,0,0,13749,0,0,0,0,0
Stellako,3,2009,27627,15770,NA,NA,NA,0,0,0,0,151762,0,0,50866,0,488,0,0,0
Stellako,3,2010,202803,109383,NA,NA,NA,0,0,16411,0,1501102,0,0,129587,0,0,0,0,0
Stellako,3,2011,85628,25856,NA,NA,NA,0,0,0,0,41761,0,0,11940,0,0,0,0,0
Stellako,3,2012,137992,50572,NA,NA,NA,0,0,67,0,42553,0,0,6994,0,0,0,0,0
Stellako,3,2013,110048,54130,NA,NA,NA,0,0,235,0,108178,0,0,38092,0,0,0,0,0
Stellako,3,2014,506157,240406,NA,NA,NA,0,0,462,0,360541,0,0,31895,0,0,0,0,0
Stellako,3,2015,101305,47613,NA,NA,NA,0,0,66,0,53844,0,0,20640,0,0,0,0,0
Stellako,3,2016,30307,15775,NA,NA,NA,0,0,63,0,37097,0,0,4837,0,0,0,0,0
Stellako,3,2017,91391,49425,NA,NA,NA,0,0,47,0,132511,0,0,27578,0,0,0,0,0
Stellako,3,2018,177252,95963,NA,NA,NA,0,0,9,0,200345,0,0,42456,0,0,0,0,NA
Stellako,3,2019,46141,26723,NA,NA,NA,0,0,0,0,115750,0,0,11210,0,NA,NA,NA,NA
Bowron,4,1948,25218,12826,NA,NA,NA,0,0,0,0,80266,0,0,0,0,0,0,0,0
Bowron,4,1949,22330,10744,NA,NA,NA,0,0,45,0,62746,0,0,0,0,0,0,0,0
Bowron,4,1950,16266,7352,NA,NA,NA,0,0,550,0,65365,0,0,9633,0,0,0,0,0
Bowron,4,1951,22234,10254,NA,NA,NA,0,0,378,0,103443,0,0,0,0,0,0,0,0
Bowron,4,1952,18811,8632,NA,NA,NA,0,0,8,0,36992,0,0,6304,0,0,0,0,0
Bowron,4,1953,13533,5741,NA,NA,NA,0,0,3,0,70599,0,0,4977,0,0,0,0,0
Bowron,4,1954,10774,4566,NA,NA,NA,0,0,652,0,62971,0,0,3293,0,0,0,0,0
Bowron,4,1955,9355,4472,NA,NA,NA,0,0,43,0,92623,0,0,4289,0,0,0,0,0
Bowron,4,1956,6996,3639,NA,NA,NA,0,0,0,0,27586,0,0,10160,738,0,0,0,0
Bowron,4,1957,12069,6416,NA,NA,NA,0,0,0,0,41008,0,0,958,0,0,0,0,0
Bowron,4,1958,14891,8308,NA,NA,NA,0,0,43,0,17945,0,0,167,0,0,0,0,0
Bowron,4,1959,29247,14614,NA,NA,NA,0,0,11,0,56454,0,0,5400,0,0,0,0,0
Bowron,4,1960,7663,3525,NA,NA,NA,0,0,4,0,17278,0,0,451,0,0,0,0,0
Bowron,4,1961,7471,3680,NA,NA,NA,0,0,0,0,26835,0,0,1313,0,0,0,0,0
Bowron,4,1962,6292,3219,NA,NA,NA,0,0,6,0,18822,0,0,2499,0,0,0,0,0
Bowron,4,1963,25144,11467,NA,NA,NA,0,0,28,0,204973,0,0,9315,0,0,0,0,0
Bowron,4,1964,1500,690,NA,NA,NA,0,0,0,0,25416,0,0,2091,0,0,0,0,0
Bowron,4,1965,2660,1170,NA,NA,NA,0,0,50,0,16770,0,0,1029,0,0,0,0,0
Bowron,4,1966,2480,1151,NA,NA,NA,0,0,0,0,21196,0,0,1053,0,0,0,0,0
Bowron,4,1967,31695,13991,NA,NA,NA,0,0,124,0,193857,0,0,12513,0,0,0,0,0
Bowron,4,1968,3634,1710,NA,NA,NA,0,0,0,0,37393,0,0,6150,1099,0,0,0,0
Bowron,4,1969,3872,1936,NA,NA,NA,0,0,0,0,16003,0,0,1208,0,0,0,0,0
Bowron,4,1970,1341,497,NA,NA,NA,0,0,371,0,15826,0,0,0,0,0,0,0,0
Bowron,4,1971,25497,10761,NA,NA,NA,0,0,0,0,124161,0,0,346,0,0,0,0,0
Bowron,4,1972,4138,1969,NA,NA,NA,0,0,0,0,16860,0,0,111,0,0,0,0,0
Bowron,4,1973,4700,2012,NA,NA,NA,0,0,0,0,10538,0,0,124,0,0,0,0,0
Bowron,4,1974,1850,1046,NA,NA,NA,0,0,0,0,15702,0,0,1729,0,0,0,0,0
Bowron,4,1975,29700,14735,NA,NA,NA,0,0,122,0,121742,0,0,634,282,0,0,0,0
Bowron,4,1976,2250,1069,NA,NA,NA,0,0,0,0,7112,0,0,0,0,0,0,0,0
Bowron,4,1977,2500,1214,NA,NA,NA,0,0,0,0,5875,0,0,9521,0,0,0,0,0
Bowron,4,1978,3150,1678,NA,NA,NA,0,0,0,0,39903,0,0,724,0,0,0,0,0
Bowron,4,1979,35000,16178,NA,NA,NA,0,0,0,0,15714,0,0,14270,0,0,0,0,0
