Stock.ID,Species,Stock,Date.data.obtained,Date.data.incorporated,Ocean.Region,Region,Sub.Region,Jurisdiction,Lat,Lon,Source.ID,Comment..we.will.update.this.later.
135,Sockeye,Alsek,,,NC,Yakutat,Yakutat,AK,59.12,-138.66,NA,
136,Sockeye,Italio,,,NC,Yakutat,Yakutat,AK,59.28,-139.11,NA,
137,Sockeye,Situk,,,NC,Yakutat,Yakutat,AK,59.45,-139.62,NA,
138,Sockeye,Copper,,,GoA,PWS,PWS,AK,60.46,-144.96,"5,17",
139,Sockeye,Coghill,,,GoA,PWS,PWS,AK,61.06,-147.94,2,
140,Sockeye,Eshamy,,,GoA,PWS,PWS,AK,60.47,-147.94,2,
143,Sockeye,Crescent,,,GoA,Cook Inlet,Upper Cook Inlet,AK,60.19,-152.66,NA,
144,Sockeye,Frazer,,,GoA,Kodiak,Kodiak,AK,57.13,-154.04,"5, 16",
145,Sockeye,Ayakulik,,,GoA,Kodiak,Kodiak,AK,57.2,-154.54,5,
146,Sockeye,Early Upper Station,,,GoA,Kodiak,Kodiak,AK,57.06,-154.36,5,
147,Sockeye,Late Upper Station,,,GoA,Kodiak,Kodiak,AK,57.06,-154.36,5,
148,Sockeye,Afognak,,,GoA,Kodiak,Kodiak,AK,58.07,-152.78,16,
149,Sockeye,Karluk Early,,,GoA,Kodiak,Kodiak,AK,57.57,-154.45,5,
150,Sockeye,Karluk Late,,,GoA,Kodiak,Kodiak,AK,57.57,-154.45,5,
151,Sockeye,Chignak Early,,,GoA,Chignik,Chignik,AK,56.28,-158.64,5,
152,Sockeye,Karluk Late,,,GoA,Chignik,Chignik,AK,56.28,-158.64,5,
153,Sockeye,Nelson,,,BS,AK Peninsula,AK Peninsula,AK,55.96,-161.28,5,
154,Sockeye,Bear,,,BS,AK Peninsula,AK Peninsula,AK,56.16,-160.45,5,
155,Sockeye,Ugashik,,,BS,Bristol Bay,Bristol Bay South,AK,57.5,-157.6,3,
156,Sockeye,Egegik,,,BS,Bristol Bay,Bristol Bay South,AK,58.25,-157.38,3,
157,Sockeye,Naknek,,,BS,Bristol Bay,Bristol Bay South,AK,58.78,-157.08,3,
158,Sockeye,Alagnak,,,BS,Bristol Bay,Bristol Bay South,AK,58.85,-158.5,3,
159,Sockeye,Kvichak,,,BS,Bristol Bay,Bristol Bay South,AK,58.85,-157.03,3,
160,Sockeye,Nushagak,,,BS,Bristol Bay,Bristol Bay North,AK,58.82,-158.49,3,
161,Sockeye,Wood,,,BS,Bristol Bay,Bristol Bay North,AK,58.82,-158.62,3,
162,Sockeye,Igushik,,,BS,Bristol Bay,Bristol Bay North,AK,58.68,-158.8,3,
163,Sockeye,Togiak,,,BS,Bristol Bay,Bristol Bay North,AK,58.95,-160.45,11,
164,Sockeye,Goodnews,,,BS,AYK,AYK,AK,59.11,-161.62,7,
165,Sockeye,Early Russian,,,GoA,Cook Inlet,Upper Cook Inlet,AK,60.54,-151.28,15,
166,Sockeye,Ford Arm Lake,,,NC,SEAK,Southeast,AK,57.58192,-135.9153,13,
167,Sockeye,Buskin,,,GoA,Kodiak,Kodiak,AK,57.75812,-152.4784,14,
