,stock,broodyear,spawners,recruits,R3,R4,R5,R6,R7
218,Babine Early Wild,2017,28036,34675,197,17079,17400,0,NA
232,Babine Late Wild,1960,112920,528122,62487,270655,194980,0,0
233,Babine Late Wild,1961,467457,775612,39095,404118,332399,0,0
234,Babine Late Wild,1962,354597,1072980,44401,372894,655684,0,0
235,Babine Late Wild,1963,193636,1537616,138359,678762,720495,0,0
236,Babine Late Wild,1964,396889,422135,23078,112713,286344,0,0
237,Babine Late Wild,1965,313242,677457,33814,418318,225325,0,0
238,Babine Late Wild,1966,243131,1005183,95981,459313,449889,0,0
239,Babine Late Wild,1967,296655,1301038,82258,669741,549039,0,0
240,Babine Late Wild,1968,267415,574425,32251,187259,354915,0,0
241,Babine Late Wild,1969,345342,1255132,114501,387003,753627,0,0
242,Babine Late Wild,1970,327830,505521,69828,384923,50770,0,0
243,Babine Late Wild,1971,436876,524003,118715,157114,248174,0,0
244,Babine Late Wild,1972,309504,469660,19145,147130,303385,0,0
245,Babine Late Wild,1973,236140,443829,68995,265338,109496,0,0
246,Babine Late Wild,1974,291444,150801,11201,33402,106198,0,0
247,Babine Late Wild,1975,118485,1291170,37568,846543,407059,0,0
248,Babine Late Wild,1976,163137,173522,30663,107248,35611,0,0
249,Babine Late Wild,1977,199711,770631,86913,275141,408576,0,0
250,Babine Late Wild,1978,57402,244544,13434,83596,147515,0,0
251,Babine Late Wild,1979,357449,267691,8144,86868,172679,0,0
252,Babine Late Wild,1980,197031,1349751,42055,318917,988779,0,0
253,Babine Late Wild,1981,113332,817576,26876,514370,276330,0,0
254,Babine Late Wild,1982,159595,370993,19071,151544,200379,0,0
255,Babine Late Wild,1983,103027,369446,21148,154598,193700,0,0
256,Babine Late Wild,1984,204447,789445,97573,474929,216943,0,0
257,Babine Late Wild,1985,623637,532209,13522,116646,402041,0,0
258,Babine Late Wild,1986,167437,1138056,16216,202439,919402,0,0
259,Babine Late Wild,1987,237400,1401026,21401,337040,1042585,0,0
260,Babine Late Wild,1988,241974,2144883,151462,888339,1105083,0,0
261,Babine Late Wild,1989,132563,1036725,142061,610950,283714,0,0
262,Babine Late Wild,1990,198864,234101,35614,99350,99137,0,0
263,Babine Late Wild,1991,432582,365727,48717,107319,209692,0,0
264,Babine Late Wild,1992,582914,661265,21716,283589,355959,0,0
265,Babine Late Wild,1993,595377,314775,3065,112360,199350,0,0
266,Babine Late Wild,1994,132299,35280,875,14024,20381,0,0
267,Babine Late Wild,1995,69506,231973,11157,168756,52060,0,0
268,Babine Late Wild,1996,143305,1965568,38356,430227,1496986,0,0
269,Babine Late Wild,1997,129975,259926,1795,127297,130834,0,0
270,Babine Late Wild,1998,97880,291458,29002,143034,119422,0,0
271,Babine Late Wild,1999,155040,151930,3893,38909,109129,0,0
272,Babine Late Wild,2000,185020,485631,10416,374155,101061,0,0
273,Babine Late Wild,2001,617401,199543,5754,127931,65858,0,0
274,Babine Late Wild,2002,130726,487062,33334,189671,264058,0,0
275,Babine Late Wild,2003,99284,68282,2644,17289,48349,0,0
276,Babine Late Wild,2004,249231,291126,6462,179883,104781,0,0
277,Babine Late Wild,2005,163178,74829,2247,31086,41496,0,0
278,Babine Late Wild,2006,137660,217627,3752,57057,156818,0,0
279,Babine Late Wild,2007,100762,310126,12643,137368,160115,0,0
280,Babine Late Wild,2008,93158,49090,5061,28936,15093,0,0
281,Babine Late Wild,2009,93791,50436,459,14765,35212,0,0
282,Babine Late Wild,2010,74126,330958,22127,194841,113990,0,0
283,Babine Late Wild,2011,152998,380731,11867,102074,266791,0,0
284,Babine Late Wild,2012,112218,172403,2288,68682,101433,0,0
285,Babine Late Wild,2013,39602,18534,1105,3973,13455,0,0
286,Babine Late Wild,2014,133779,392386,5153,255627,120139,11468,217
287,Babine Late Wild,2015,140168,60734,1966,27031,30654,1083,0
288,Babine Late Wild,2016,164716,70219,11705,24699,32711,1104,0
289,Babine Late Wild,2017,84732,54516,742,29895,23879,0,NA
308,Babine Mid Wild,1960,12298,45409,17276,21781,6353,0,0
309,Babine Mid Wild,1961,33657,33571,3146,13167,17258,0,0
310,Babine Mid Wild,1962,16828,62111,1447,19361,41304,0,0
311,Babine Mid Wild,1963,56280,175926,7184,42757,125985,0,0
312,Babine Mid Wild,1964,35960,45527,1454,19709,24365,0,0
313,Babine Mid Wild,1965,11094,46101,5913,35594,4594,0,0
314,Babine Mid Wild,1966,15196,25136,8167,9365,7604,0,0
315,Babine Mid Wild,1967,24201,28929,1677,11320,15932,0,0
316,Babine Mid Wild,1968,55410,46245,545,5434,40266,0,0
317,Babine Mid Wild,1969,32575,124776,3323,43907,77547,0,0
318,Babine Mid Wild,1970,7423,58958,7922,39608,11428,0,0
319,Babine Mid Wild,1971,8381,58171,12216,35365,10590,0,0
320,Babine Mid Wild,1972,10277,31034,4309,6278,20446,0,0
321,Babine Mid Wild,1973,32179,27197,2944,17882,6371,0,0
322,Babine Mid Wild,1974,38189,8349,755,1944,5650,0,0
323,Babine Mid Wild,1975,28686,66954,2186,45040,19729,0,0
324,Babine Mid Wild,1976,8022,8785,1631,5198,1955,0,0
325,Babine Mid Wild,1977,15573,30860,4212,15107,11541,0,0
326,Babine Mid Wild,1978,3931,13630,738,2361,10531,0,0
327,Babine Mid Wild,1979,21765,12234,230,6202,5803,0,0
328,Babine Mid Wild,1980,11166,38711,3002,10717,24992,0,0
329,Babine Mid Wild,1981,7178,19508,903,13001,5604,0,0
330,Babine Mid Wild,1982,4827,15554,482,3073,11999,0,0
331,Babine Mid Wild,1983,8904,27206,429,9258,17520,0,0
332,Babine Mid Wild,1984,8065,59718,5843,42956,10919,0,0
333,Babine Mid Wild,1985,17229,19260,1223,5871,12166,0,0
334,Babine Mid Wild,1986,3874,51392,816,6126,44450,0,0
335,Babine Mid Wild,1987,15786,29242,648,16295,12300,0,0
336,Babine Mid Wild,1988,23459,56070,7323,10480,38267,0,0
337,Babine Mid Wild,1989,7701,35961,1676,21156,13129,0,0
