"","stock","broodyear","run","spawners","recruits","r3","r4","r5","r6","r7"
"111","Lower Nass-Portland",2007,49306,18212,62787.507,8298.807,54488.7,0,0,0
"112","Lower Nass-Portland",2008,19105,12197,45730.698,17586.3,28144.398,0,0,0
"113","Lower Nass-Portland",2009,38823,17531,71844.902,21934.602,49910.3,0,0,0
"114","Lower Nass-Portland",2010,14333,6860,16676.304,12906.74,3769.564,0,0,0
"115","Lower Nass-Portland",2011,72075,34951,119634.363,43946.436,75687.927,0,0,0
"116","Lower Nass-Portland",2012,50079,19934,57855.894,32903.073,24952.821,0,0,0
"117","Lower Nass-Portland",2013,63580,26636,18627.579,9370.179,9257.4,0,0,0
"118","Lower Nass-Portland",2014,47716,20236,34796.133342228,16457.6,17226.7,0,1111.833342228,0
"119","Lower Nass-Portland",2015,108591,54634,122102.821677464,38343.3,79074.355,3335.5,1349.666677464,0
"120","Lower Nass-Portland",2016,34323,22282,NA,20140.645,14453.833342228,1349.666677464,0,NA
"121","Lower Nass-Portland",2017,25715,14147,NA,7782.833342228,12147.000012147,3189,NA,NA
"122","Lower Nass-Portland",2018,55570,40005,NA,13496.666661268,19134,NA,NA,NA
"123","Lower Nass-Portland",2019,99215,67192,NA,3189,NA,NA,NA,NA
"124","Lower Nass-Portland",2020,26684,20656,NA,NA,NA,NA,NA,NA
"125","Lower Nass-Portland",2021,28343,22685,NA,NA,NA,NA,NA,NA
"126","Lower Nass-Portland",2022,25512,20273,NA,NA,NA,NA,NA,NA
"127","Meziadin",1960,NA,NA,NA,NA,NA,NA,NA,NA
"128","Meziadin",1961,NA,NA,NA,NA,NA,NA,NA,NA
"129","Meziadin",1962,NA,NA,NA,NA,NA,NA,NA,NA
"130","Meziadin",1963,NA,NA,NA,NA,NA,NA,NA,NA
"131","Meziadin",1964,NA,NA,NA,NA,NA,NA,NA,NA
"132","Meziadin",1965,NA,NA,NA,NA,NA,NA,NA,NA
"133","Meziadin",1966,NA,NA,NA,NA,NA,NA,NA,NA
"134","Meziadin",1967,NA,NA,NA,NA,NA,NA,NA,NA
"135","Meziadin",1968,NA,NA,NA,NA,NA,NA,NA,NA
"136","Meziadin",1969,NA,NA,NA,NA,NA,NA,NA,NA
"137","Meziadin",1970,NA,NA,NA,NA,NA,NA,NA,NA
"138","Meziadin",1971,NA,NA,NA,NA,NA,NA,NA,NA
"139","Meziadin",1972,NA,NA,NA,NA,NA,NA,NA,NA
"140","Meziadin",1973,NA,NA,NA,NA,NA,NA,NA,NA
"141","Meziadin",1974,NA,NA,NA,NA,NA,NA,NA,NA
"142","Meziadin",1975,NA,NA,NA,NA,NA,NA,NA,0
"143","Meziadin",1976,NA,NA,NA,NA,NA,NA,51268.24,NA
"144","Meziadin",1977,NA,NA,NA,NA,NA,538316.52,NA,0
"145","Meziadin",1978,NA,NA,NA,NA,51268.24,NA,61473.02,0
"146","Meziadin",1979,NA,NA,NA,0,NA,267588.44,103082.58,0
"147","Meziadin",1980,NA,NA,NA,NA,32544.54,292067.31,88631.76,0
"148","Meziadin",1981,NA,NA,415404.37,0,183257.92,193090.62,39055.83,0
"149","Meziadin",1982,640853,250000,312032.19,0,34819.62,262739.22,14473.35,0
"150","Meziadin",1983,487256,170000,360460.14,0,53257.95,237362.94,69839.25,0
"151","Meziadin",1984,361606,140000,152822.54,0,37630.71,77002.25,38189.58,0
"152","Meziadin",1985,572681,288663,284767.24,0,32233.5,199760.88,52772.86,0
"153","Meziadin",1986,316542,115543,511068.8,0,55815.54,354332.06,100921.2,0
"154","Meziadin",1987,355053,143989,1295792.29,0,346793.08,841010,107989.21,0
"155","Meziadin",1988,289467,116984,1707763.1,0,740088.8,925621.8,42052.5,0
"156","Meziadin",1989,179075,50000,888166.77,0,509091.99,319599,59475.78,0
"157","Meziadin",1990,293766,120954,473856.54,0,58873.5,365351.22,49631.82,0
"158","Meziadin",1991,753898,250000,1236210.79,0,424827,719661.39,91722.4,0
"159","Meziadin",1992,1682020,592118,401191.14,0,57903.79,303830.45,39456.9,0
"160","Meziadin",1993,1542703,4e+05,513246.4,0,171979.5,298118.8,43148.1,0
"161","Meziadin",1994,420525,158010,666975.94,0,96450.2,460246.4,110279.34,0
"162","Meziadin",1995,849654,205853,554674.45,0,222931.85,204221,127521.6,0
"163","Meziadin",1996,827197,182082,287521.7,0,93941.66,159402,34178.04,0
"164","Meziadin",1997,573265,158687,801465.48,0,111581.4,581026.68,108857.4,0
"165","Meziadin",1998,438410,163925,1164385.18,0,524063.28,607787.15,32534.75,0
"166","Meziadin",1999,719135,180350,684244.2,0,190500.45,429458.7,64285.05,0
"167","Meziadin",2000,408442,137042,593170.5,0,182194.6,291425.56,119550.34,0
"168","Meziadin",2001,398505,116192,431506.33,0,72856.39,257493.04,101156.9,0
"169","Meziadin",2002,1139268,332442,377187.77,0,82765.62,268454.85,25967.3,0
"170","Meziadin",2003,907145,196852,242601.48,0,19453.25,171384.18,51764.05,0
"171","Meziadin",2004,650695,140923,383420.32,0,62321.52,302620.6,18478.2,0
"172","Meziadin",2005,428567,142858,283368.6,0,43800.35,209419.6,30148.65,0
"173","Meziadin",2006,459809,146954,329915.12,0,73912.8,194291.3,61711.02,0
"174","Meziadin",2007,389065,104308,377892.44,9239.1,107195.2,212560.18,48897.96,0
"175","Meziadin",2008,259673,150383,314211.25,3349.85,54854.24,215965.99,40041.17,0
"176","Meziadin",2009,398185,168404,389476.19,17141.95,134469.39,163244.77,74620.08,0
"177","Meziadin",2010,307970,159120,279480.29,8149.66,77002.25,169967.96,24360.42,0
"178","Meziadin",2011,334985,167524,340575.47,27720.81,165822.4,107881.86,39150.4,0
"179","Meziadin",2012,342839,144923,143666.99,4145.56,36540.63,92003.44,10977.36,0
"180","Meziadin",2013,407483,170376,125170.4,6960.12,50895.52,52142.46,15172.3,0
"181","Meziadin",2014,308009,144920,126472.46,13702.64,60375.48,45516.9,6877.44,0
"182","Meziadin",2015,414556,185917,192130.707997,13721.7,62068.5,96284.16,20056.347997,0
"183","Meziadin",2016,174003,109868,NA,15172.3,56738.88,125130.31250972,25311.56592063,NA
"184","Meziadin",2017,195752,119088,NA,12035.52,146429.08940716,175255.08,NA,NA
"185","Meziadin",2018,137217,96827,NA,100104.25008612,228629.46864021,NA,NA,NA
"186","Meziadin",2019,137930,88128,NA,52273.88592063,NA,NA,NA,NA
"187","Meziadin",2020,171936,126468,NA,NA,NA,NA,NA,NA
"188","Meziadin",2021,391720,273955,NA,NA,NA,NA,NA,NA
"189","Meziadin",2022,481470,343765,NA,NA,NA,NA,NA,NA
