Stock,Brood Year,Spawners,,0.2,1.1,0.3,1.2,2.1,0.4,1.3,2.2,3.1,1.4,2.3,3.2,2.4,3.3,Run,Return,Yield,R/S
Kenai,2013,"980,208",,0,964,"2,209","183,311","5,465",0,"635,930","201,580",0,"5,284","160,618",0,1237,0,"2,551,971","1,196,598","216,390",1.2
Kenai,2014,"1,218,342",,"1,728","2,419",0,"692,016","29,596",0,"3,119,219","91,262",0,"29,973","54,677",0,888,0,"3,858,000","4,021,778","2,803,437",3.3
Kenai,2015,"1,325,673",,945,1808,0,"248,012","7,294",0,"2,058,266","74,031",0,"19,963","582,753",0,"9,500",0,"2,695,533","3,002,571","1,676,898",2.3
Kenai,2016,"1,058,622",,0,696,"3,052","318,080","9,352",0,"2,617,996","147,793",0,"29,781","507,272",0,NA,NA,0,"3,634,023",NA,3.4
Kenai,2017,"1,057,138",,0,"3,303","9,457","454,990","14,446","1,034","1,388,827","129,925",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenai,2018,"831,096",,"3,296","6,418","9,559","568,189","43,282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenai,2019,"1,499,054",,0,"8,163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenai,2020,"1,563,386",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenai,2021,"2,006,587",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenai,2022,"1,320,395",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
